date,open,high,low,close,volume,ret,source
2011-11-02,3.14,3.54,3.14,3.52,30120120.0,,akshare_stock_zh_a_daily
2011-11-03,3.5,3.59,3.41,3.52,18273584.0,0.0,akshare_stock_zh_a_daily
2011-11-04,3.52,3.63,3.46,3.54,13384264.0,0.005681818181818121,akshare_stock_zh_a_daily
2011-11-07,3.48,3.48,3.27,3.31,10264351.0,-0.06497175141242939,akshare_stock_zh_a_daily
2011-11-08,3.28,3.39,3.28,3.32,6319870.0,0.0030211480362536403,akshare_stock_zh_a_daily
2011-11-09,3.33,3.39,3.29,3.37,5734357.0,0.015060240963855609,akshare_stock_zh_a_daily
2011-11-10,3.32,3.43,3.28,3.32,6619594.0,-0.014836795252225587,akshare_stock_zh_a_daily
2011-11-11,3.32,3.34,3.18,3.23,6516694.0,-0.027108433734939763,akshare_stock_zh_a_daily
2011-11-14,3.26,3.43,3.26,3.36,7207509.0,0.04024767801857587,akshare_stock_zh_a_daily
2011-11-15,3.34,3.42,3.31,3.41,5594658.0,0.01488095238095255,akshare_stock_zh_a_daily
2011-11-16,3.43,3.59,3.43,3.44,10164380.0,0.008797653958944274,akshare_stock_zh_a_daily
2011-11-17,3.56,3.7,3.53,3.59,10785729.0,0.043604651162790775,akshare_stock_zh_a_daily
2011-11-18,3.53,3.68,3.51,3.62,8754314.0,0.008356545961002881,akshare_stock_zh_a_daily
2011-11-21,3.58,3.62,3.46,3.54,5402915.0,-0.02209944751381221,akshare_stock_zh_a_daily
2011-11-22,3.54,3.72,3.51,3.69,8353395.0,0.04237288135593209,akshare_stock_zh_a_daily
2011-11-23,3.66,3.7,3.59,3.59,5250009.0,-0.027100271002710064,akshare_stock_zh_a_daily
2011-11-24,3.53,3.67,3.51,3.6,4923470.0,0.0027855153203342198,akshare_stock_zh_a_daily
2011-11-25,3.61,3.82,3.61,3.71,7358936.0,0.030555555555555447,akshare_stock_zh_a_daily
2011-11-28,3.65,3.71,3.57,3.6,4886625.0,-0.029649595687331498,akshare_stock_zh_a_daily
