date,open,high,low,close,volume,ret,source
2020-01-02,22.27,24.69,22.22,24.69,732496,,akshare_stock_zh_a_hist
2020-01-03,24.73,26.42,24.52,26.12,767925,0.057918185500202446,akshare_stock_zh_a_hist
2020-01-06,25.52,26.97,25.36,26.2,532146,0.003062787136294043,akshare_stock_zh_a_hist
2020-01-07,26.02,26.46,25.67,25.87,332068,-0.012595419847328149,akshare_stock_zh_a_hist
2020-01-08,26.02,26.23,24.92,25.21,467051,-0.025512176265945152,akshare_stock_zh_a_hist
2020-01-09,25.87,26.88,25.47,26.67,531383,0.0579135263784214,akshare_stock_zh_a_hist
2020-01-10,26.79,26.88,25.56,26.02,361505,-0.024371953505811894,akshare_stock_zh_a_hist
2020-01-13,25.72,28.66,25.67,28.63,453404,0.1003074558032282,akshare_stock_zh_a_hist
2020-01-14,28.55,28.56,26.97,27.63,369743,-0.034928396786587546,akshare_stock_zh_a_hist
2020-01-15,27.53,27.99,26.8,27.72,268881,0.0032573289902280145,akshare_stock_zh_a_hist
2020-01-16,27.71,27.96,27.12,27.2,187129,-0.018759018759018753,akshare_stock_zh_a_hist
2020-01-17,27.25,27.46,26.52,26.7,238197,-0.018382352941176516,akshare_stock_zh_a_hist
2020-01-20,26.52,27.78,26.42,27.67,425940,0.03632958801498143,akshare_stock_zh_a_hist
2020-01-21,27.75,30.52,27.75,29.06,800351,0.05023491145645087,akshare_stock_zh_a_hist
2020-01-22,29.11,30.7,28.42,30.7,550029,0.0564349621472815,akshare_stock_zh_a_hist
2020-01-23,29.72,30.11,27.55,27.92,703152,-0.09055374592833865,akshare_stock_zh_a_hist
2020-02-03,25.05,25.05,25.05,25.05,127220,-0.10279369627507162,akshare_stock_zh_a_hist
2020-02-04,24.12,26.32,24.1,25.77,661490,0.02874251497005975,akshare_stock_zh_a_hist
2020-02-05,25.99,26.99,25.22,25.45,613920,-0.012417539774932096,akshare_stock_zh_a_hist
2020-02-06,25.21,26.03,24.62,25.8,468253,0.013752455795677854,akshare_stock_zh_a_hist
2020-02-07,25.42,26.72,25.2,25.97,512148,0.006589147286821584,akshare_stock_zh_a_hist
2020-02-10,25.62,25.65,24.5,25.14,722101,-0.03195995379283778,akshare_stock_zh_a_hist
2020-02-11,25.37,27.73,25.04,27.37,1039642,0.088703261734288,akshare_stock_zh_a_hist
2020-02-12,26.72,28.0,26.23,27.88,796565,0.01863354037267073,akshare_stock_zh_a_hist
2020-02-13,27.67,29.14,27.36,27.92,718020,0.0014347202295552641,akshare_stock_zh_a_hist
2020-02-14,27.8,28.96,27.33,27.66,686174,-0.009312320916905481,akshare_stock_zh_a_hist
2020-02-17,28.22,29.52,27.71,29.42,621397,0.06362979031091842,akshare_stock_zh_a_hist
2020-02-18,29.72,29.92,28.7,29.47,638019,0.0016995241332427025,akshare_stock_zh_a_hist
2020-02-19,29.52,29.93,28.4,28.71,547244,-0.025788937902952114,akshare_stock_zh_a_hist
2020-02-20,28.62,31.61,28.61,31.28,894811,0.0895158481365379,akshare_stock_zh_a_hist
2020-02-21,31.28,33.58,30.94,32.58,740277,0.04156010230179019,akshare_stock_zh_a_hist
2020-02-24,32.57,34.42,32.0,34.22,626440,0.05033763044812778,akshare_stock_zh_a_hist
2020-02-25,33.21,35.81,31.98,35.01,963349,0.023085914669783714,akshare_stock_zh_a_hist
2020-02-26,33.72,34.52,31.43,31.43,830721,-0.10225649814338755,akshare_stock_zh_a_hist
2020-02-27,31.23,32.02,29.6,30.38,701437,-0.03340757238307357,akshare_stock_zh_a_hist
2020-02-28,28.72,29.54,27.48,27.52,836202,-0.09414088215931538,akshare_stock_zh_a_hist
2020-03-02,28.47,30.02,27.22,28.99,778147,0.05341569767441867,akshare_stock_zh_a_hist
2020-03-03,30.96,31.55,28.7,29.4,806427,0.014142807864780949,akshare_stock_zh_a_hist
2020-03-04,28.56,29.16,27.23,28.25,689762,-0.03911564625850339,akshare_stock_zh_a_hist
2020-03-05,29.63,29.75,28.26,28.92,603893,0.023716814159292054,akshare_stock_zh_a_hist
2020-03-06,28.24,29.87,27.97,29.24,594421,0.011065006915629283,akshare_stock_zh_a_hist
2020-03-09,28.23,29.12,27.19,27.32,592513,-0.06566347469220235,akshare_stock_zh_a_hist
2020-03-10,27.12,29.67,26.71,29.42,712221,0.0768667642752563,akshare_stock_zh_a_hist
2020-03-11,29.67,30.46,27.93,28.21,636700,-0.04112848402447322,akshare_stock_zh_a_hist
2020-03-12,27.55,27.9,26.73,27.13,537420,-0.038284296348812585,akshare_stock_zh_a_hist
2020-03-13,24.51,26.99,24.51,26.11,768600,-0.037596756358274974,akshare_stock_zh_a_hist
2020-03-16,26.37,26.37,23.42,23.42,930471,-0.10302566066641128,akshare_stock_zh_a_hist
2020-03-17,23.3,23.9,21.02,22.29,828318,-0.048249359521776336,akshare_stock_zh_a_hist
2020-03-18,22.68,23.14,21.61,21.67,726157,-0.0278151637505607,akshare_stock_zh_a_hist
2020-03-19,21.93,22.72,21.12,22.43,627490,0.03507152745731412,akshare_stock_zh_a_hist
2020-03-20,22.98,23.19,21.84,22.36,427256,-0.0031208203299153414,akshare_stock_zh_a_hist
2020-03-23,21.32,21.65,20.05,20.05,711239,-0.10330948121645789,akshare_stock_zh_a_hist
2020-03-24,20.51,20.68,19.37,20.42,567572,0.01845386533665838,akshare_stock_zh_a_hist
