date,open,high,low,close,volume,ret,source
2022-05-24,45.77,47.76,41.71,41.75,12746047.0,,akshare_stock_zh_a_daily
2022-05-25,38.31,40.42,36.82,37.61,10412844.0,-0.09916167664670661,akshare_stock_zh_a_daily
2022-05-26,36.62,40.27,35.48,38.11,10416692.0,0.013294336612603042,akshare_stock_zh_a_daily
2022-05-27,36.82,37.94,34.04,34.06,9095143.0,-0.10627131986355276,akshare_stock_zh_a_daily
2022-05-30,33.04,34.88,33.04,34.42,6027188.0,0.010569583088666956,akshare_stock_zh_a_daily
2022-05-31,34.03,41.3,33.45,37.84,11109610.0,0.09936083672283558,akshare_stock_zh_a_daily
2022-06-01,36.02,38.07,35.2,36.83,8724700.0,-0.02669133192389017,akshare_stock_zh_a_daily
2022-06-02,37.62,40.8,36.85,38.08,10089759.0,0.03393972305185988,akshare_stock_zh_a_daily
2022-06-06,36.82,39.73,36.18,38.91,8378324.0,0.02179621848739499,akshare_stock_zh_a_daily
2022-06-07,38.86,40.8,36.32,36.44,9470487.0,-0.0634798252377281,akshare_stock_zh_a_daily
2022-06-08,34.83,35.76,34.03,34.79,6841626.0,-0.04527991218441274,akshare_stock_zh_a_daily
2022-06-09,35.02,35.71,33.34,33.4,4551961.0,-0.039954009772923293,akshare_stock_zh_a_daily
2022-06-10,32.84,34.2,32.62,34.19,3475307.0,0.023652694610778457,akshare_stock_zh_a_daily
2022-06-13,33.84,34.13,33.17,33.67,3045058.0,-0.015209125475285079,akshare_stock_zh_a_daily
2022-06-14,33.23,33.63,31.42,32.6,3972855.0,-0.03177903177903174,akshare_stock_zh_a_daily
2022-06-15,32.73,33.49,32.72,32.81,3511177.0,0.006441717791411117,akshare_stock_zh_a_daily
2022-06-16,32.37,33.28,32.36,32.63,2812051.0,-0.005486132276744882,akshare_stock_zh_a_daily
2022-06-17,32.37,32.79,31.43,31.9,2853456.0,-0.0223720502604966,akshare_stock_zh_a_daily
2022-06-20,31.74,32.58,31.74,32.5,2487300.0,0.018808777429467183,akshare_stock_zh_a_daily
2022-06-21,32.79,33.95,32.62,33.8,5104557.0,0.039999999999999813,akshare_stock_zh_a_daily
2022-06-22,33.16,33.38,32.01,32.19,3410242.0,-0.047633136094674566,akshare_stock_zh_a_daily
2022-06-23,32.19,33.84,31.84,33.5,3883867.0,0.040695868282075276,akshare_stock_zh_a_daily
2022-06-24,33.18,33.89,33.17,33.24,3442338.0,-0.007761194029850649,akshare_stock_zh_a_daily
2022-06-27,33.47,33.76,32.87,33.49,2703557.0,0.007521058965102245,akshare_stock_zh_a_daily
2022-06-28,33.49,34.05,32.94,33.96,3299898.0,0.01403404001194386,akshare_stock_zh_a_daily
2022-06-29,33.82,33.94,32.21,32.23,3619214.0,-0.05094228504122511,akshare_stock_zh_a_daily
2022-06-30,32.16,32.52,31.92,32.44,1884236.0,0.0065156686317096035,akshare_stock_zh_a_daily
2022-07-01,32.28,32.69,31.92,32.3,1732800.0,-0.004315659679408168,akshare_stock_zh_a_daily
2022-07-04,32.29,33.42,31.54,33.02,3205118.0,0.02229102167182684,akshare_stock_zh_a_daily
2022-07-05,32.8,32.85,31.84,32.15,2191999.0,-0.026347668079951703,akshare_stock_zh_a_daily
2022-07-06,31.99,32.5,31.44,31.6,1868689.0,-0.01710730948678063,akshare_stock_zh_a_daily
2022-07-07,31.73,31.79,30.95,31.01,1942132.0,-0.018670886075949356,akshare_stock_zh_a_daily
2022-07-08,30.87,32.24,30.87,31.99,2715774.0,0.03160270880361171,akshare_stock_zh_a_daily
2022-07-11,31.64,31.64,30.87,31.01,1824415.0,-0.03063457330415742,akshare_stock_zh_a_daily
2022-07-12,31.16,31.3,30.45,30.55,1192236.0,-0.014833924540470833,akshare_stock_zh_a_daily
2022-07-13,30.65,30.83,30.37,30.7,1093535.0,0.004909983633387904,akshare_stock_zh_a_daily
2022-07-14,30.7,31.29,30.54,31.13,1402913.0,0.014006514657980418,akshare_stock_zh_a_daily
2022-07-15,31.18,32.55,31.15,31.84,3227733.0,0.022807581111468078,akshare_stock_zh_a_daily
2022-07-18,31.45,32.37,31.45,32.13,1968114.0,0.009108040201005085,akshare_stock_zh_a_daily
2022-07-19,31.84,32.3,31.73,32.0,1595296.0,-0.004046062869592415,akshare_stock_zh_a_daily
2022-07-20,32.03,33.04,31.94,32.69,2938407.0,0.02156249999999993,akshare_stock_zh_a_daily
2022-07-21,32.54,32.89,31.69,31.75,2557004.0,-0.028754970939125046,akshare_stock_zh_a_daily
2022-07-22,31.83,31.94,30.95,31.29,1643023.0,-0.014488188976377936,akshare_stock_zh_a_daily
2022-07-25,31.3,31.42,30.75,30.96,988700.0,-0.010546500479386323,akshare_stock_zh_a_daily
2022-07-26,31.05,31.38,30.4,31.38,1274312.0,0.013565891472868241,akshare_stock_zh_a_daily
2022-07-27,31.19,32.54,31.16,32.26,2183689.0,0.028043339706819603,akshare_stock_zh_a_daily
2022-07-28,32.06,32.91,32.06,32.66,2199701.0,0.012399256044637319,akshare_stock_zh_a_daily
2022-07-29,32.59,32.82,32.25,32.28,1736900.0,-0.011635027556644029,akshare_stock_zh_a_daily
2022-08-01,32.38,33.06,32.28,32.94,2137904.0,0.020446096654274992,akshare_stock_zh_a_daily
2022-08-02,33.14,33.17,30.85,30.86,2870872.0,-0.06314511232544018,akshare_stock_zh_a_daily
2022-08-03,31.03,32.52,31.03,31.76,2781409.0,0.029163966299416755,akshare_stock_zh_a_daily
