2026-04-27 10:55:20,836 | INFO | app.services.proxy_portfolio_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_source_success | top10_proxy_stock_success fund_code=018956 stock_code=301183 stock_name=东田微 source=cache rows=952
2026-04-27 10:55:20,836 | INFO | app.services.stock_price_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_multi_source_start | stock_daily_multi_source_start stock_code=603052
2026-04-27 10:55:20,840 | INFO | app.services.stock_price_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_source_success | stock_daily_source_success stock_code=603052 source=cache rows=859
2026-04-27 10:55:20,841 | INFO | app.services.proxy_portfolio_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_source_success | top10_proxy_stock_success fund_code=018956 stock_code=603052 stock_name=可川科技 source=cache rows=859
2026-04-27 10:55:20,842 | INFO | app.services.stock_price_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_multi_source_start | stock_daily_multi_source_start stock_code=688313
2026-04-27 10:55:20,847 | INFO | app.services.stock_price_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_source_success | stock_daily_source_success stock_code=688313 source=cache rows=1372
2026-04-27 10:55:20,848 | INFO | app.services.proxy_portfolio_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=stock_daily_source_success | top10_proxy_stock_success fund_code=018956 stock_code=688313 stock_name=仕佳光子 source=cache rows=1372
2026-04-27 10:55:20,914 | INFO | app.services.proxy_portfolio_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=top10_proxy_build_success | top10_proxy_build_success fund_code=018956 available=10 missing=0 status=usable
2026-04-27 10:55:20,914 | INFO | app.services.proxy_portfolio_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=theme_proxy_fetch_start | theme_proxy_fetch_start
2026-04-27 10:55:21,361 | INFO | app.services.proxy_portfolio_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=theme_proxy_fetch_success | theme_proxy_fetch_success available=12 failed=0
2026-04-27 10:55:21,374 | INFO | app.services.proxy_portfolio_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=rolling_proxy_exposure_start | rolling_proxy_exposure_start
2026-04-27 10:55:25,480 | INFO | app.services.proxy_portfolio_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=rolling_proxy_exposure_success | rolling_proxy_exposure_success
2026-04-27 10:55:25,482 | INFO | app.services.proxy_portfolio_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=proxy_feature_merge_success | proxy_feature_merge_success proxy_available=True top10_status=usable proxy_r2_60=0.21049808221718203
2026-04-27 10:55:25,484 | INFO | app.services.feature_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=excess_target_build_start | excess_target_build_start fund_code=018956
2026-04-27 10:55:25,485 | INFO | app.services.feature_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=excess_target_build_success | excess_target_build_success fund_code=018956 excess_targets=['target_excess_cyb', 'target_excess_kcb50', 'target_excess_top10', 'target_excess_theme']
2026-04-27 10:55:25,488 | INFO | app.services.feature_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=exposure_stability_check_success | exposure_stability_check_success fund_code=018956
2026-04-27 10:55:25,510 | INFO | app.services.feature_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=exposure_stability_check_success | data_self_check fund_code=018956 nav_rows=640 nav_start_date=2023-08-10 nav_end_date=2026-04-24 dataset_rows=640 data_train_rows=639 feature_count=191 source_used=akshare_fund_open_fund_info_em fallback_used=False
2026-04-27 10:55:25,644 | INFO | app.services.feature_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=feature_build_success | feature_build_success rows_full=640 rows_train=639
2026-04-27 10:55:25,670 | INFO | app.services.feature_service | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=feature_build_success | leakage_check_passed fund_code=018956 feature_count=191
