2026-04-27 10:57:45,271 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:45,285 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:45,645 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:45,661 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:46,053 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:46,071 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:46,482 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:46,498 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:46,883 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:46,898 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:47,064 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:47,221 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
2026-04-27 10:57:47,432 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_start | direction_model_calibration_start
2026-04-27 10:57:47,597 | INFO | train | request_id=6b962206b829 | fund_code=018956 | task_id=train_018956_161ae5cf89 | stage=direction_model_calibration_success | direction_model_calibration_success
