date,nav,daily_growth_pct,acc_nav,source
2026-04-23,4.8159,-2.5,,danjuanfunds
2026-04-24,4.6687,-3.06,,danjuanfunds
2026-04-27,4.6781,0.2,,danjuanfunds
2026-04-28,4.544,-2.87,,danjuanfunds
2026-04-29,4.563,0.42,,danjuanfunds
2026-04-30,4.5258,-0.82,,danjuanfunds
2026-05-06,4.631,2.32,,danjuanfunds
2026-05-07,4.8421,4.56,,danjuanfunds
2026-05-08,4.9603,2.44,,danjuanfunds
2026-05-11,5.0322,1.45,,danjuanfunds
2026-05-12,5.1308,1.96,,danjuanfunds
2026-05-13,5.3214,3.71,,danjuanfunds
2026-05-14,5.3546,0.62,,danjuanfunds
2026-05-15,5.2494,-1.96,,danjuanfunds
2026-05-18,5.2275,-0.42,,danjuanfunds
2026-05-19,5.15,-1.48,,danjuanfunds
2026-05-20,5.2053,1.07,,danjuanfunds
2026-05-21,4.9413,-5.07,,danjuanfunds
2026-05-22,5.222,5.68,,danjuanfunds
2026-05-25,5.4605,4.57,,danjuanfunds
