date,nav,acc_nav,daily_growth_pct,fund_ret,fund_ret_lag1,fund_ret_lag2,fund_ret_lag3,fund_ret_lag5,fund_ret_lag10,fund_ret_mean_5,fund_ret_std_5,fund_mom_5,fund_ret_mean_10,fund_ret_std_10,fund_mom_10,fund_ret_mean_20,fund_ret_std_20,fund_mom_20,fund_ret_mean_60,fund_ret_std_60,fund_mom_60,fund_drawdown_20,fund_drawdown_60,recent_max_gain_20,recent_max_loss_20,up_days_5,down_days_5,consecutive_up_days,consecutive_down_days,cyb_ret,cyb_ret_lag1,cyb_ret_mean_5,cyb_ret_std_5,cyb_mom_5,cyb_volume_chg_5,cyb_ret_mean_20,cyb_ret_std_20,cyb_mom_20,cyb_volume_chg_20,cyb_vol_20,zz1000_ret,zz1000_ret_lag1,zz1000_ret_mean_5,zz1000_ret_std_5,zz1000_mom_5,zz1000_volume_chg_5,zz1000_ret_mean_20,zz1000_ret_std_20,zz1000_mom_20,zz1000_volume_chg_20,zz1000_vol_20,hs300_ret,hs300_ret_lag1,hs300_ret_mean_5,hs300_ret_std_5,hs300_mom_5,hs300_volume_chg_5,hs300_ret_mean_20,hs300_ret_std_20,hs300_mom_20,hs300_volume_chg_20,hs300_vol_20,kcb50_ret,kcb50_ret_lag1,kcb50_ret_mean_5,kcb50_ret_std_5,kcb50_mom_5,kcb50_volume_chg_5,kcb50_ret_mean_20,kcb50_ret_std_20,kcb50_mom_20,kcb50_volume_chg_20,kcb50_vol_20,zz500_ret,zz500_ret_lag1,zz500_ret_mean_5,zz500_ret_std_5,zz500_mom_5,zz500_volume_chg_5,zz500_ret_mean_20,zz500_ret_std_20,zz500_mom_20,zz500_volume_chg_20,zz500_vol_20,style_growth_vs_large,style_small_vs_large,style_tech_vs_large,style_growth_vs_large_mean_5,style_growth_vs_large_mean_20,style_small_vs_large_mean_5,style_small_vs_large_mean_20,style_tech_vs_large_mean_5,style_tech_vs_large_mean_20,top10_proxy_ret,top10_proxy_mom5,top10_proxy_mom20,top10_proxy_vol20,top10_proxy_available_count,top10_proxy_missing_count,holding_report_date,holding_scope,theme_semiconductor_ret,theme_communication_ret,theme_electronics_ret,theme_computer_ret,theme_ai_ret,theme_cpo_ret,theme_cloud_computing_ret,theme_cybersecurity_ret,theme_media_ret,theme_cyb_growth_ret,theme_sse_star_ret,theme_small_growth_ret,theme_semiconductor_mom5,theme_semiconductor_mom20,theme_semiconductor_vol20,theme_communication_mom5,theme_communication_mom20,theme_communication_vol20,theme_electronics_mom5,theme_electronics_mom20,theme_electronics_vol20,theme_computer_mom5,theme_computer_mom20,theme_computer_vol20,theme_ai_mom5,theme_ai_mom20,theme_ai_vol20,theme_cpo_mom5,theme_cpo_mom20,theme_cpo_vol20,theme_cloud_computing_mom5,theme_cloud_computing_mom20,theme_cloud_computing_vol20,theme_cybersecurity_mom5,theme_cybersecurity_mom20,theme_cybersecurity_vol20,theme_media_mom5,theme_media_mom20,theme_media_vol20,theme_cyb_growth_mom5,theme_cyb_growth_mom20,theme_cyb_growth_vol20,theme_sse_star_mom5,theme_sse_star_mom20,theme_sse_star_vol20,theme_small_growth_mom5,theme_small_growth_mom20,theme_small_growth_vol20,theme_proxy_ret,theme_proxy_mom5,theme_proxy_mom20,theme_proxy_vol20,theme_semiconductor_vs_hs300,theme_semiconductor_vs_cyb,theme_communication_vs_hs300,theme_communication_vs_cyb,theme_electronics_vs_hs300,theme_electronics_vs_cyb,theme_computer_vs_hs300,theme_computer_vs_cyb,theme_ai_vs_hs300,theme_ai_vs_cyb,theme_cpo_vs_hs300,theme_cpo_vs_cyb,theme_cloud_computing_vs_hs300,theme_cloud_computing_vs_cyb,theme_cybersecurity_vs_hs300,theme_cybersecurity_vs_cyb,theme_media_vs_hs300,theme_media_vs_cyb,theme_cyb_growth_vs_hs300,theme_cyb_growth_vs_cyb,theme_sse_star_vs_hs300,theme_sse_star_vs_cyb,theme_small_growth_vs_hs300,theme_small_growth_vs_cyb,theme_proxy_vs_hs300,theme_proxy_vs_cyb,beta_top10_60,beta_theme_60,beta_hs300_60,beta_cyb_60,beta_kcb50_60,beta_zz1000_60,beta_style_tech_60,proxy_r2_60,tracking_error_60,proxy_pred_ret_60,proxy_residual,proxy_residual_mom5,proxy_residual_vol20,proxy_quality_flag,feature_date,target_date,target_next,target_excess_cyb,target_excess_kcb50,target_excess_top10,target_excess_theme,proxy_r2_mean_20,proxy_r2_trend_20,tracking_error_mean_20
2023-08-10,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,0.0009079610900517565,-0.007782004963423406,-0.002236597015635966,0.00535861162476425,-0.011190022678527978,-0.19277809783377875,-0.0009152478375101747,0.006617589874663683,-0.01855440564053934,-0.023387539876327135,0.006617589874663683,0.002054154053992674,-0.003055483663464531,-0.001457233895979293,0.0045335620856577245,-0.007305904149334186,-0.24672981173682218,0.00102592673628078,0.009652275653770031,0.019828545923733065,-0.19221394737034603,0.009652275653770031,,,,,,,,,,,,0.0016540042346493422,-0.007311122467483333,-0.002195186826544049,0.005256843782961947,-0.0109826864457776,-0.3183826040110812,-8.001988729618991e-05,0.0068574745505687,-0.0020433284911136607,0.001868821269883414,0.0068574745505687,,-0.0011461929639409174,,,,,,,,-0.013172937434773147,-0.015917689930069034,-0.11892790505318174,0.027997836749754607,10.0,0.0,2026-03-31,top10,,,,,,,,,,,,0.0009079610900517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.011190022678527756,-0.018554405640539007,0.006617589874663646,0.0009079610900517,-0.011190022678527756,-0.018554405640539007,0.006617589874663646,,,,,,,,,,,,,,,,,,,,,,,-0.0011461929639409738,,-0.0011461929639409738,,,,,,,,,,,,,,,low,2023-08-10,2023-08-11,-9.999999999998899e-05,,,0.019689481324172246,0.01890943080626311,,,
2023-08-11,0.9999,0.9999,-0.01,-9.999999999998899e-05,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,-0.01900943080626316,0.0009079610900517565,-0.007139484170805077,0.007349539338779874,-0.03529742996517371,-0.23433128599728859,-0.0018363224799977818,0.007754055559727955,-0.03664473463051188,0.0986844635329629,0.007754055559727955,-0.023007153421267024,0.002054154053992674,-0.006837694687748819,0.009659412009809023,-0.033908043118157094,-0.2927306425410844,-0.00013315241681888246,0.011050498168154291,-0.003808571208740452,0.030385196899030964,0.011050498168154291,,,,,,,,,,,,-0.01962295932662539,0.0016540042346493422,-0.007099333317534673,0.007805471407954189,-0.035115916300077044,-0.42586576503686047,-0.0009491570529405024,0.008129304474012375,-0.01942950193349824,0.19069289998652117,0.008129304474012375,,0.0039977226150038625,,,,,,,,-0.019789481324172235,-0.07637094902743236,-0.15196623998294734,0.02754971138717768,10.0,0.0,2026-03-31,top10,,,,,,,,,,,,-0.0190094308062631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03529742996517349,-0.03664473463051143,0.007754055559727918,-0.0190094308062631,-0.03529742996517349,-0.03664473463051143,0.007754055559727918,,,,,,,,,,,,,,,,,,,,,,,0.003997722615003925,,0.003997722615003925,,,,,,,,,,,,,,,low,2023-08-11,2023-08-18,-0.0020002000200020076,,,0.041911308058596594,0.018886220365425994,,,
2023-08-18,0.9979,0.9979,0.0,-0.0020002000200020076,-9.999999999998899e-05,,,,,,,,,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,-0.020886420385428095,0.009892667787404719,-0.005961737925918675,0.012144139132849192,-0.02974475941528787,-0.06579255634749648,-0.002226682965371163,0.009416273769636866,-0.04441358323621958,0.225561270569967,0.009416273769636866,-0.012294119182480245,0.003344394015184715,-0.005201951326503429,0.005915087077451058,-0.025809358305979302,-0.2421683608109101,-0.00043708819826436264,0.011387282074125768,-0.009919124207529717,0.2017678821988751,0.011387282074125768,,,,,,,,,,,,-0.016437535322996855,0.007052708452621292,-0.004595365053255996,0.008895771945810751,-0.02292270878605196,-0.08967878239148275,-0.0012242727400794073,0.008954135537578269,-0.024947558318693552,0.25564460242806786,0.008954135537578269,,-0.00859230120294785,,,,,,,,-0.0439115080785986,-0.04477434561640392,-0.0911418755888157,0.02386335677067093,10.0,0.0,2026-03-31,top10,,,,,,,,,,,,-0.020886420385428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.029744759415287758,-0.044413583236219245,0.009416273769636822,-0.020886420385428,-0.029744759415287758,-0.044413583236219245,0.009416273769636822,,,,,,,,,,,,,,,,,,,,,,,-0.008592301202947756,,-0.008592301202947756,,,,,,,,,,,,,,,low,2023-08-18,2023-08-25,-0.02415071650465983,,,0.03515525142199097,-0.005957572584433132,,,
2023-08-25,0.9738,0.9738,0.0,-0.02415071650465983,-0.0020002000200020076,-9.999999999998899e-05,,,,,,,,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,-0.01819314392022675,0.0023938382937123137,-0.007848119859962654,0.012210897253545279,-0.038920339833679596,0.006497690323078897,-0.0046969628761528385,0.00972785651615979,-0.09069072506179066,-0.10905249857058852,0.00972785651615979,-0.00383517348251472,0.007249846481795608,-0.003935124131396894,0.011453072890487874,-0.019780655391120505,0.10081646363640617,-0.0036415309267531447,0.008611548422800538,-0.07102641293948508,-0.4147922084257506,0.008611548422800538,,,,,,,,,,,,-0.012641813514675415,0.004115818456346121,-0.006851052897571641,0.010981068394426106,-0.0340250614420714,0.03215479042016223,-0.003932794978899407,0.008683137633330508,-0.07645402135278423,-0.348897584505251,0.008683137633330508,,-0.014357970437712031,,,,,,,,-0.0593059679266508,-0.05616760527924203,-0.11564775580891284,0.027592604093396724,10.0,0.0,2026-03-31,top10,,,,,,,,,,,,-0.0181931439202267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03892033983367971,-0.09069072506179066,0.00972785651615975,-0.0181931439202267,-0.03892033983367971,-0.09069072506179066,0.00972785651615975,,,,,,,,,,,,,,,,,,,,,,,-0.014357970437711979,,-0.014357970437711979,,,,,,,,,,,,,,,low,2023-08-25,2023-09-01,0.012528239884986636,,,0.02948957191007617,0.012053164937818436,,,
2023-09-01,0.986,0.986,0.0,0.012528239884986636,-0.02415071650465983,-0.0020002000200020076,-9.999999999998899e-05,,,,,,,,,,,,,,,,,,,1.0,3.0,1,0,,,,,,,,,,,,0.0004750749471682525,-0.0057544184258659925,0.007723814663441342,0.0142057436372351,0.03881082423461013,-0.11490428748798576,-0.003306381823311266,0.012627874501349433,-0.06550865145088536,-0.36278315976151476,0.012627874501349433,0.006963644041463102,-0.006134337773953447,0.004423434913752034,0.0075104012139382975,0.022199156140894738,0.0012971726276267415,-0.002887833807974277,0.009293534943465163,-0.056979341289067786,-0.40920680865577064,0.009293534943465163,,,,,,,,,,,,0.001986270341847618,-0.00619031540306314,0.006052851979007334,0.011030656979726017,0.03038588406456677,-0.019413261848466146,-0.003123224822338744,0.010537267726946582,-0.061639275784197256,-0.4710203592193627,0.010537267726946582,,-0.006488569094294849,,,,-0.005317462216778357,,,,-0.016961332025089534,0.033199235929470605,-0.13963542993144584,0.02617532884310783,10.0,0.0,2026-03-31,top10,,,,,,,,,,,,0.0004750749471682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03881082423461035,-0.06550865145088458,0.01262787450134939,0.0004750749471682,0.03881082423461035,-0.06550865145088458,0.01262787450134939,,,,,,,,,,,,,,,,,,,,,,,-0.006488569094294901,,-0.006488569094294901,,,,,,,,,,,,,,,low,2023-09-01,2023-09-08,-0.006592292089249496,,,-0.004826668247936497,-0.009715499327199995,,,
2023-09-08,0.9795,0.9795,0.0,-0.006592292089249496,0.012528239884986636,-0.02415071650465983,-0.0020002000200020076,,,-0.004062993745784937,0.013277268417513245,-0.020499999999999963,,,,,,,,,,,,,,1.0,4.0,0,1,,,,,,,,,,,,0.003123207237950565,-0.018060231979313723,-9.351495026543866e-05,0.01230934581105747,-0.0007712208540738841,-0.041113444338717,-0.0015448895181763567,0.013250442364209001,-0.03206368642777391,-0.20198037353334597,0.013250442364209001,-0.004916894374572656,-0.014050256687381912,-0.0026841053607612685,0.010900409459214944,-0.01358305046301056,-0.31979856103522697,-0.0018494364762273896,0.00930115988340765,-0.03713973096479373,-0.4318170656696678,0.00930115988340765,,,,,,,,,,,,0.0010381047573957414,-0.015142356805598278,-0.001425376162369729,0.010706763247675772,-0.007334631703415195,-0.2366989065292786,-0.0017047355335475078,0.010808397837568246,-0.034621661156535755,-0.29673112376318633,0.010808397837568246,,0.00804010161252322,,,,-0.0034802033014855295,,,,-0.0017656238413129995,-0.018713670457453868,-0.0859274184348956,0.025799509620653808,10.0,0.0,2026-03-31,top10,,,,,,,,,,,,0.0031232072379505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0007712208540741061,-0.032063686427773797,0.013250442364208958,0.0031232072379505,-0.0007712208540741061,-0.032063686427773797,0.013250442364208958,,,,,,,,,,,,,,,,,,,,,,,0.008040101612523155,,0.008040101612523155,,,,,,,,,,,,,,,low,2023-09-08,2023-09-11,0.01674323634507391,,,-0.021949130806487083,0.0036092533315826084,,,
2023-09-11,0.9959,0.9959,1.67,0.01674323634507391,-0.006592292089249496,0.012528239884986636,-0.02415071650465983,-9.999999999998899e-05,,-0.000694346476770158,0.016321752322990664,-0.004000400040004015,,,,,,,,,,,,,,2.0,3.0,1,0,,,,,,,,,,,,0.013133983013491335,0.003123207237950565,-0.0004651464324505916,0.011755627712818425,-0.002600520104020787,-0.07397714113448584,-0.001005326318166694,0.013631317393700297,-0.021642843240112564,0.040544705748785326,0.013631317393700297,0.007366329856496989,-0.004916894374572656,-0.004241837756858313,0.00784093287898011,-0.021151223060834723,-0.2600493871554066,-0.0011163133926836099,0.009426263417309858,-0.022918066033698947,-0.09147764458281105,0.009426263417309858,,,,,,,,,,,,0.011580732296071483,0.0010381047573957414,-0.0018559779816557987,0.009962078592386996,-0.009442894929139745,-0.16816742379796124,-0.0011548702006738075,0.01120345047578518,-0.024011289886425202,0.08836623181329095,0.01120345047578518,,0.005767653156994346,,,,-0.003126217193087433,,,,0.03869236715156099,0.014818867213357123,-0.06324068684695627,0.027278558875172675,10.0,0.0,2026-03-31,top10,,,,,,,,,,,,0.0131339830134913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002600520104020898,-0.021642843240112564,0.013631317393700257,0.0131339830134913,-0.002600520104020898,-0.021642843240112564,0.013631317393700257,,,,,,,,,,,,,,,,,,,,,,,0.005767653156994311,,0.005767653156994311,,,,,,,,,,,,,,,low,2023-09-11,2023-09-12,0.007129229842353535,,,-0.011737611600395634,0.006810595731358935,,,
2023-09-12,1.003,1.003,0.71,0.007129229842353535,0.01674323634507391,-0.006592292089249496,0.012528239884986636,-0.0020002000200020076,,0.0011315394957009505,0.016646562637633724,0.005110732538330387,,,,,,,,,,,,,,3.0,2.0,2,0,,,,,,,,,,,,0.00031863411099464223,0.013133983013491335,0.0006026521718466959,0.011477614229588646,0.0027514576077720676,-0.14571514446933398,-0.0005330228943711101,0.013498082291629522,-0.01231608517135041,-0.017854870240283427,0.013498082291629522,-0.0018420507811462983,0.007366329856496989,-0.003122569455326385,0.007668085201823469,-0.015632198349876503,-0.23706301029128263,-0.0010869141332030985,0.009422866754682412,-0.022342156847452554,-0.2299941825722529,0.009422866754682412,,,,,,,,,,,,-0.0006580394234880771,0.011580732296071483,-0.0005786133150736062,0.009530533414374045,-0.0030714960673448033,-0.19223524783534474,-0.000874934151296558,0.011139023442908961,-0.018512597410107134,-0.06899325347707308,0.011139023442908961,,0.0021606848921409405,,,,-0.0009756199740696747,,,,0.01886684144274917,0.033208556831933134,-0.042512927579001714,0.027708865851142614,10.0,0.0,2026-03-31,top10,,,,,,,,,,,,0.0003186341109946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0027514576077720676,-0.012316085171350188,0.01349808229162948,0.0003186341109946,0.0027514576077720676,-0.012316085171350188,0.01349808229162948,,,,,,,,,,,,,,,,,,,,,,,0.0021606848921408984,,0.0021606848921408984,,,,,,,,,,,,,,,low,2023-09-12,2023-09-13,-0.014556331006979062,,,0.009226813186256958,-0.0013833095876819614,,,
2023-09-13,0.9884,0.9884,-1.46,-0.014556331006979062,0.007129229842353535,0.01674323634507391,-0.006592292089249496,-0.02415071650465983,,0.003050416595237104,0.013199796934234537,0.014992811665639705,,,,,,,,,,,,,,3.0,2.0,0,1,,,,,,,,,,,,-0.013173021419297104,0.00031863411099464223,-0.0029314858072348573,0.012640113609223853,-0.014888513698917527,-0.036116839106815846,-0.000590162881338413,0.01355162637105584,-0.013458554248027776,0.000591491144758427,0.01355162637105584,-0.006368664574801897,-0.0018420507811462983,-0.003962307312281155,0.007766949565122137,-0.019774241021188188,-0.12698201244831042,-0.0010386541779388691,0.00939160842755484,-0.02139155075648247,-0.13781937408589306,0.00939160842755484,,,,,,,,,,,,-0.009622365892499207,-0.0006580394234880771,-0.0025607850136236676,0.010304329593072002,-0.01294906379201377,0.010963422573331272,-0.0009601192647480771,0.011202061203872045,-0.02019810670607325,-0.12842200618455812,0.011202061203872045,,-0.006804356844495207,,,,0.00053510274457369,,,,-0.02378314419323602,-0.012782961070970988,-0.04653507258878631,0.027863468693744328,10.0,0.0,2026-03-31,top10,,,,,,,,,,,,-0.0131730214192971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014888513698917527,-0.013458554248027332,0.0135516263710558,-0.0131730214192971,-0.014888513698917527,-0.013458554248027332,0.0135516263710558,,,,,,,,,,,,,,,,,,,,,,,-0.006804356844495204,,-0.006804356844495204,,,,,,,,,,,,,,,low,2023-09-13,2023-09-14,-0.006980979360582618,,,0.022061612275014693,-0.001339620977848518,,,
2023-09-14,0.9815,0.9815,-0.7,-0.006980979360582618,-0.014556331006979062,0.007129229842353535,0.01674323634507391,0.012528239884986636,,-0.0008514272538767464,0.01256598981195363,-0.004563894523326506,,,,,,,,,,,,,,2.0,3.0,0,2,,,,,,,,,,,,-0.005641358382734163,-0.013173021419297104,-0.00044771108791894496,0.009832454583813653,-0.002429526472468857,-0.13468217910683944,-0.001366864189845357,0.013363037212723989,-0.028633395223765956,-0.1137830386190477,0.013363037212723989,-0.0008403248899414573,-0.006368664574801897,-0.0013203209527930637,0.005347467022357407,-0.006641000194227864,0.05554110586248906,-0.0012478901231951778,0.009335265614300686,-0.025473101720132507,0.020023106930233903,0.009335265614300686,,,,,,,,,,,,-0.002327046225985785,-0.009622365892499207,2.2771022988310463e-06,0.0076424649404574834,-0.00010521332000623662,-0.028763509180836144,-0.001429106998678431,0.011044173077829875,-0.029324045513043018,-0.20540002400499036,0.011044173077829875,,-0.004801033492792706,,,,0.0008726098648741187,,,,-0.02904259163559731,0.001344166678077796,-0.08225157947297101,0.02837252355067987,10.0,0.0,2026-03-31,top10,,,,,,,,,,,,-0.0056413583827341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002429526472468635,-0.028633395223765623,0.013363037212723949,-0.0056413583827341,-0.002429526472468635,-0.028633395223765623,0.013363037212723949,,,,,,,,,,,,,,,,,,,,,,,-0.004801033492792642,,-0.004801033492792642,,,,,,,,,,,,,,,low,2023-09-14,2023-09-15,-0.010596026490066301,,,0.01203900714565797,-0.0123014960214823,,,
