date,nav,acc_nav,daily_growth_pct,fund_ret,fund_ret_lag1,fund_ret_lag2,fund_ret_lag3,fund_ret_lag5,fund_ret_lag10,fund_ret_mean_5,fund_ret_std_5,fund_mom_5,fund_ret_mean_10,fund_ret_std_10,fund_mom_10,fund_ret_mean_20,fund_ret_std_20,fund_mom_20,fund_ret_mean_60,fund_ret_std_60,fund_mom_60,fund_drawdown_20,fund_drawdown_60,recent_max_gain_20,recent_max_loss_20,up_days_5,down_days_5,consecutive_up_days,consecutive_down_days,zz1000_ret,zz1000_ret_lag1,zz1000_ret_mean_5,zz1000_ret_std_5,zz1000_mom_5,zz1000_volume_chg_5,zz1000_ret_mean_20,zz1000_ret_std_20,zz1000_mom_20,zz1000_volume_chg_20,zz1000_vol_20,cyb_ret,cyb_ret_lag1,cyb_ret_mean_5,cyb_ret_std_5,cyb_mom_5,cyb_volume_chg_5,cyb_ret_mean_20,cyb_ret_std_20,cyb_mom_20,cyb_volume_chg_20,cyb_vol_20,kcb50_ret,kcb50_ret_lag1,kcb50_ret_mean_5,kcb50_ret_std_5,kcb50_mom_5,kcb50_volume_chg_5,kcb50_ret_mean_20,kcb50_ret_std_20,kcb50_mom_20,kcb50_volume_chg_20,kcb50_vol_20,zz500_ret,zz500_ret_lag1,zz500_ret_mean_5,zz500_ret_std_5,zz500_mom_5,zz500_volume_chg_5,zz500_ret_mean_20,zz500_ret_std_20,zz500_mom_20,zz500_volume_chg_20,zz500_vol_20,hs300_ret,hs300_ret_lag1,hs300_ret_mean_5,hs300_ret_std_5,hs300_mom_5,hs300_volume_chg_5,hs300_ret_mean_20,hs300_ret_std_20,hs300_mom_20,hs300_volume_chg_20,hs300_vol_20,style_growth_vs_large,style_small_vs_large,style_tech_vs_large,style_growth_vs_large_mean_5,style_growth_vs_large_mean_20,style_small_vs_large_mean_5,style_small_vs_large_mean_20,style_tech_vs_large_mean_5,style_tech_vs_large_mean_20,top10_proxy_ret,top10_proxy_mom5,top10_proxy_mom20,top10_proxy_vol20,top10_proxy_available_count,top10_proxy_missing_count,holding_report_date,holding_scope,theme_semiconductor_ret,theme_communication_ret,theme_electronics_ret,theme_computer_ret,theme_ai_ret,theme_cpo_ret,theme_cloud_computing_ret,theme_cybersecurity_ret,theme_media_ret,theme_cyb_growth_ret,theme_sse_star_ret,theme_small_growth_ret,theme_semiconductor_mom5,theme_semiconductor_mom20,theme_semiconductor_vol20,theme_communication_mom5,theme_communication_mom20,theme_communication_vol20,theme_electronics_mom5,theme_electronics_mom20,theme_electronics_vol20,theme_computer_mom5,theme_computer_mom20,theme_computer_vol20,theme_ai_mom5,theme_ai_mom20,theme_ai_vol20,theme_cpo_mom5,theme_cpo_mom20,theme_cpo_vol20,theme_cloud_computing_mom5,theme_cloud_computing_mom20,theme_cloud_computing_vol20,theme_cybersecurity_mom5,theme_cybersecurity_mom20,theme_cybersecurity_vol20,theme_media_mom5,theme_media_mom20,theme_media_vol20,theme_cyb_growth_mom5,theme_cyb_growth_mom20,theme_cyb_growth_vol20,theme_sse_star_mom5,theme_sse_star_mom20,theme_sse_star_vol20,theme_small_growth_mom5,theme_small_growth_mom20,theme_small_growth_vol20,theme_proxy_ret,theme_proxy_mom5,theme_proxy_mom20,theme_proxy_vol20,theme_semiconductor_vs_hs300,theme_semiconductor_vs_cyb,theme_communication_vs_hs300,theme_communication_vs_cyb,theme_electronics_vs_hs300,theme_electronics_vs_cyb,theme_computer_vs_hs300,theme_computer_vs_cyb,theme_ai_vs_hs300,theme_ai_vs_cyb,theme_cpo_vs_hs300,theme_cpo_vs_cyb,theme_cloud_computing_vs_hs300,theme_cloud_computing_vs_cyb,theme_cybersecurity_vs_hs300,theme_cybersecurity_vs_cyb,theme_media_vs_hs300,theme_media_vs_cyb,theme_cyb_growth_vs_hs300,theme_cyb_growth_vs_cyb,theme_sse_star_vs_hs300,theme_sse_star_vs_cyb,theme_small_growth_vs_hs300,theme_small_growth_vs_cyb,theme_proxy_vs_hs300,theme_proxy_vs_cyb,beta_top10_60,beta_theme_60,beta_hs300_60,beta_cyb_60,beta_kcb50_60,beta_zz1000_60,beta_style_tech_60,proxy_r2_60,tracking_error_60,proxy_pred_ret_60,proxy_residual,proxy_residual_mom5,proxy_residual_vol20,proxy_quality_flag,feature_date,target_date,target_next,target_excess_cyb,target_excess_kcb50,target_excess_top10,target_excess_theme,proxy_r2_mean_20,proxy_r2_trend_20,tracking_error_mean_20
2025-01-23,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.004561336398132387,-0.008848988324345664,0.0009746525976105369,0.0072114745021241876,0.004778231123659937,0.029959858993289235,-0.002083987504284307,0.01730875806310867,-0.04358876333332784,0.01748065572036439,0.01730875806310867,,,,,,,,,,,,,,,,,,,,,,,-0.004068085592092929,-0.004767550834942624,0.0014010851704395976,0.005511205466644019,0.006964041957361111,0.09444203943688545,-0.0021349322207901643,0.014786623100615803,-0.04384028875278456,0.039044263315383354,0.014786623100615803,0.0017698089554438745,-0.0092861000727964,0.000188845436100582,0.005485496444687274,0.0008841221141042688,0.24956549862555066,-0.0022764573147230406,0.010879304494292438,-0.045636448942827146,0.13287345554402052,0.010879304494292438,,-0.006331145353576262,,,,,,,,-0.006386082680290647,0.01781928412796807,-0.01753427558607623,0.013818984316715048,10,0,2026-03-31,top10,,,,,,,,,,,,-0.0045613363981323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004778231123659937,-0.043588763333327174,0.017308758063108637,-0.0045613363981323,0.004778231123659937,-0.043588763333327174,0.017308758063108637,,,,,,,,,,,,,,,,,,,,,,,-0.006331145353576174,,-0.006331145353576174,,,,,,,,,,,,,,,low,2025-01-23,2025-01-24,0.0,,,-0.009798127691673637,-0.0187166646937826,,,
2025-01-24,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.018716664693782636,-0.004561336398132387,0.0033300231623515806,0.010717724496922446,0.01652980277562377,0.05727355136600121,-0.001687640281188879,0.017705280161907654,-0.036088272772281216,0.005672310624501575,0.017705280161907654,,,,,,,,,,,,,,,,,,,,,,,0.011765232573756501,-0.004068085592092929,0.002251687418263626,0.0068546606050660566,0.01121473916693061,0.10061385806380074,-0.0019470787910102704,0.01494528025175499,-0.04027647076809149,-0.040472052465932995,0.01494528025175499,0.007655623149847246,0.0017698089554438745,0.0010905593229338262,0.006389425218892789,0.005382520971371818,0.17650783481790988,-0.0019168845333217889,0.011091427238302512,-0.038776370038219654,0.03867122575086057,0.011091427238302512,,0.01106104154393539,,,,,,,,0.009798127691673637,0.02799432292268733,-0.01643170579307296,0.013862019227139878,10,0,2026-03-31,top10,,,,,,,,,,,,0.0187166646937826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016529802775623992,-0.03608827277228066,0.01770528016190762,0.0187166646937826,0.016529802775623992,-0.03608827277228066,0.01770528016190762,,,,,,,,,,,,,,,,,,,,,,,0.011061041543935356,,0.011061041543935356,,,,,,,,,,,,,,,low,2025-01-24,2025-01-27,0.0,,,0.019299307840429856,0.0155031971344514,,,
2025-01-27,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.015503197134451474,0.018716664693782636,-0.0010572566711417376,0.013306932587240214,-0.005626663718394709,-0.049309849020200414,-0.0025530532850029765,0.017946930258901195,-0.052741846888231025,-0.20684089717006215,0.017946930258901195,,,,,,,,,,,,,,,,,,,,,,,-0.010727528562199606,0.011765232573756501,-0.0008617293924010116,0.008678157252016651,-0.004451109927631536,0.006142042378524337,-0.002586307916391889,0.015038122741158916,-0.052520947862156886,-0.237537037056891,0.015038122741158916,-0.004117030102847585,0.007655623149847246,-0.000642524218528373,0.006392251890097532,-0.003290092122579358,0.05079122357955157,-0.002041857889859039,0.011101953563987662,-0.04118280947393016,-0.1335030737406624,0.011101953563987662,,-0.011386167031603889,,,,,,,,-0.019299307840429856,-0.016979158180145726,-0.025505712832140426,0.014331435180120698,10,0,2026-03-31,top10,,,,,,,,,,,,-0.0155031971344514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005626663718394376,-0.05274184688823014,0.017946930258901164,-0.0155031971344514,-0.005626663718394376,-0.05274184688823014,0.017946930258901164,,,,,,,,,,,,,,,,,,,,,,,-0.011386167031603814,,-0.011386167031603814,,,,,,,,,,,,,,,low,2025-01-27,2025-02-07,9.999999999998899e-05,,,-0.026564863369158566,-0.01516358735681071,,,
2025-02-07,1.0001,1.0001,0.0,9.999999999998899e-05,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,1,0,0.01526358735681077,0.027270532386626467,0.01035956113091685,0.0163349648168953,0.052327745782746016,0.4536435226085249,0.0029631490808871342,0.016867570267086678,0.058125714798286765,0.3269923792020253,0.016867570267086678,,,,,,,,,,,,,,,,,,,,,,,0.014977644009116498,0.023779965410311688,0.008855411807918023,0.012954840734335574,0.04472220978645303,0.42405389049603626,0.0026168353417683255,0.013087923807561777,0.051961657608793566,0.20104799277435426,0.013087923807561777,0.01297741508211403,0.012582079956153791,0.004666904024464391,0.009036029143274522,0.0233875080841488,0.22865516108718031,0.000978607925523467,0.00929454230544414,0.018924719924615196,0.018168954824516748,0.00929454230544414,,0.0022861722746967406,,,,,,,,0.026664863369158555,0.0004599523765540514,0.033227623588273136,0.015533766306352805,10,0,2026-03-31,top10,,,,,,,,,,,,0.0152635873568107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.052327745782746016,0.05812571479828743,0.016867570267086636,0.0152635873568107,0.052327745782746016,0.05812571479828743,0.016867570267086636,,,,,,,,,,,,,,,,,,,,,,,0.0022861722746966694,,0.0022861722746966694,,,,,,,,,,,,,,,low,2025-02-07,2025-02-14,9.999000099991662e-05,,,-0.009811049047765362,-0.005747897322943583,,,
2025-02-14,1.0002,1.0002,0.0,9.999000099991662e-05,9.999999999998899e-05,0.0,0.0,,,,,,,,,,,,,,,,,,,2.0,0.0,2,0,0.00584788732394359,-0.011474061238485711,0.0037640257851242255,0.011113898471710721,0.018711943984806023,-0.0800949194974162,0.004958980816616676,0.015406107911215368,0.10154633178089045,0.5415124667215725,0.015406107911215368,,,,,,,,,,,,,,,,,,,,,,,0.00839908718842497,-0.007115526729096433,0.0039070246318542836,0.009432096062698582,0.019508089660764005,-0.08939803006257374,0.004389868153696697,0.01225664226599221,0.09002142363637367,0.6322111459443351,0.01225664226599221,0.008673184572128179,-0.0037552361563933934,0.0023856399095607108,0.006633326573104854,0.011896627019806427,-0.2203270896438344,0.002103035620672017,0.009097146482252095,0.04209922008106082,0.3326997961261817,0.009097146482252095,,-0.0028252972481845884,,,,-0.0014390791629465215,,,,0.009911039048765278,0.013680534865810223,0.050533037416662374,0.01555921301533102,10,0,2026-03-31,top10,,,,,,,,,,,,0.0058478873239435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018711943984806023,0.1015463317808909,0.01540610791121533,0.0058478873239435,0.018711943984806023,0.1015463317808909,0.01540610791121533,,,,,,,,,,,,,,,,,,,,,,,-0.0028252972481846786,,-0.0028252972481846786,,,,,,,,,,,,,,,low,2025-02-14,2025-02-20,0.00019996000799826774,,,-0.00020632533968816522,-0.007095862704145932,,,
2025-02-20,1.0004,1.0004,0.0,0.00019996000799826774,9.999000099991662e-05,9.999999999998899e-05,0.0,,,7.999000179963467e-05,8.365106568224435e-05,0.00039999999999995595,,,,,,,,,,,,,,3.0,0.0,3,0,0.00729582271214424,0.023833712679945274,0.004004024679758111,0.016548831735111295,0.019623340040241466,-0.07947587002263623,0.004706006830893827,0.012773251749977097,0.0967592809021447,0.41029778324903243,0.012773251749977097,,,,,,,,,,,,,,,,,,,,,,,0.002299844545986751,0.017663948389836204,0.0020721423955887275,0.013191618343703573,0.010052117065032729,-0.1317425512252749,0.0038487413416555204,0.010247567290031614,0.07878554122619263,0.4322043225692629,0.010247567290031614,-0.0028577519694631404,0.00699758228165126,0.0012345323737084524,0.007179696555871558,0.006084288911537117,-0.04980489068693117,0.0017426179094329809,0.006647785310799568,0.0350023577263614,0.1584706103218423,0.006647785310799568,,0.01015357468160738,,,,0.0018578648440902069,,,,0.00040628534768643297,0.022130486578853414,0.059832125126693114,0.013525396864084181,10,0,2026-03-31,top10,,,,,,,,,,,,0.0072958227121442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019623340040241244,0.09675928090214536,0.012773251749977047,0.0072958227121442,0.019623340040241244,0.09675928090214536,0.012773251749977047,,,,,,,,,,,,,,,,,,,,,,,0.01015357468160734,,0.01015357468160734,,,,,,,,,,,,,,,low,2025-02-20,2025-02-21,0.0005997600959615212,,,-0.014605204932649234,-0.01752663210157538,,,
2025-02-21,1.001,1.001,0.06,0.0005997600959615212,0.00019996000799826774,9.999000099991662e-05,9.999999999998899e-05,0.0,,0.00019994202099193892,0.00023441955923871673,0.0009999999999998899,,,,,,,,,,,,,,4.0,0.0,4,0,0.018126392197536978,0.00729582271214424,0.006459725654476789,0.017757705550397893,0.03207000350465594,0.09817901028092546,0.0053894912920321005,0.01312022307236097,0.11168511939544667,0.5124964801563638,0.01312022307236097,,,,,,,,,,,,,,,,,,,,,,,0.016703174962862333,0.002299844545986751,0.0037329599504762,0.014631477086436433,0.018369817411479916,0.19065665879505533,0.0044741203901720265,0.010643837480179283,0.092222164118414,0.6897961720375725,0.010643837480179283,0.012609127236631101,-0.0028577519694631404,0.002021720906609037,0.008323786749017785,0.01001012944877,0.3146317815475088,0.00231577756918368,0.00707412890170131,0.04685320941590043,0.5736407998700566,0.00707412890170131,,0.005517264960905877,,,,0.000749109527484304,,,,0.015204965028610755,0.027488466567653358,0.060592243336904605,0.013558838876337836,10,0,2026-03-31,top10,,,,,,,,,,,,0.0181263921975369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032070003504656386,0.11168511939544667,0.013120223072360918,0.0181263921975369,0.032070003504656386,0.11168511939544667,0.013120223072360918,,,,,,,,,,,,,,,,,,,,,,,0.0055172649609058,,0.0055172649609058,,,,,,,,,,,,,,,low,2025-02-21,2025-02-24,-0.0003996003996004083,,,0.01731915048965149,-0.0026928974288583083,,,
2025-02-24,1.0006,1.0006,-0.04,-0.0003996003996004083,0.0005997600959615212,0.00019996000799826774,9.999000099991662e-05,0.0,,0.00012002194107185726,0.00035614193991789485,0.0005999999999999339,,,,,,,,,,,,,,4.0,1.0,0,1,0.002293297029257957,0.018126392197536978,0.005870508897910765,0.017856920434961173,0.029045286449088437,-0.016288615119281036,0.005157165549991127,0.013132459255623423,0.10655525826104983,0.6180491813633602,0.013132459255623423,,,,,,,,,,,,,,,,,,,,,,,-0.0019960178700557663,0.016703174962862333,0.003302820568267073,0.014793685139984343,0.016179951317258245,0.042377255785267964,0.00399870842993742,0.010713116778053316,0.08191448806129631,0.9244734771425596,0.010713116778053316,-0.0021918138767960116,0.012609127236631101,0.0011573627669323905,0.008531533924685036,0.00565435476516174,0.0338143685203367,0.002048834189559828,0.0071415201090578055,0.0412817324792647,0.7438571318908662,0.0071415201090578055,,0.0044851109060539684,,,,0.003923365115015875,,,,-0.0177187508892519,-0.0020791160763493632,0.04200494643912611,0.014323071954256458,10,0,2026-03-31,top10,,,,,,,,,,,,0.0022932970292579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02904528644908866,0.10655525826105028,0.01313245925562337,0.0022932970292579,0.02904528644908866,0.10655525826105028,0.01313245925562337,,,,,,,,,,,,,,,,,,,,,,,0.004485110906053911,,0.004485110906053911,,,,,,,,,,,,,,,low,2025-02-24,2025-02-25,-0.000499700179891982,,,0.010849747560269704,0.003923244056047918,,,
2025-02-25,1.0001,1.0001,-0.05,-0.000499700179891982,-0.0003996003996004083,0.0005997600959615212,0.00019996000799826774,9.999999999998899e-05,,8.190509346306384e-08,0.00045251378249978956,0.0,,,,,,,,,,,,,,3.0,2.0,0,2,-0.0044229442359399185,0.002293297029257957,0.009425256076588905,0.011516134005042835,0.0477504583093189,-0.015968052806941246,0.004614358236543376,0.013300228875603712,0.09461912011090057,0.48851081493484405,0.013300228875603712,,,,,,,,,,,,,,,,,,,,,,,-0.010752741535524524,-0.0019960178700557663,0.0047836416986209995,0.012262644595048909,0.02384299169107873,-0.037719735149502664,0.0032190935786050147,0.011204765942924754,0.06512620383910472,0.5240595649721671,0.011204765942924754,-0.011101538647562026,-0.0021918138767960116,0.0006911210048922367,0.009243686507203195,0.003289221474245929,-0.14953569272191936,0.0012663378769585565,0.0076895808139467005,0.025059535000313327,0.2760205093405075,0.0076895808139467005,,0.006678594411622107,,,,0.004801849542400949,,,,-0.011349447740161686,-0.008793225171779384,0.004495791481833544,0.013502559506123482,10,0,2026-03-31,top10,,,,,,,,,,,,-0.0044229442359399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0477504583093189,0.09461912011090035,0.013300228875603658,-0.0044229442359399,0.0477504583093189,0.09461912011090035,0.013300228875603658,,,,,,,,,,,,,,,,,,,,,,,0.006678594411622126,,0.006678594411622126,,,,,,,,,,,,,,,low,2025-02-25,2025-02-26,0.0006999300069991943,,,-0.00960380994345271,-0.013126651899726305,,,
2025-02-26,1.0008,1.0008,0.07,0.0006999300069991943,-0.000499700179891982,-0.0003996003996004083,0.0005997600959615212,9.999000099991662e-05,,0.0001200699062933186,0.0005538264686169275,0.0005998800239950253,,,,,,,,,,,,,,3.0,2.0,1,0,0.013826581906725588,-0.0044229442359399185,0.007423829921944969,0.008975311746649475,0.03750956105798964,0.11086145887915855,0.005060158641507745,0.013459155045014624,0.10433106184474661,0.5225214917210974,0.013459155045014624,,,,,,,,,,,,,,,,,,,,,,,0.012001732450162672,-0.010752741535524524,0.003651198510686293,0.010969004121001125,0.018146395956849748,0.02709516781979837,0.0036447159284394683,0.011375938298106462,0.0741615074406452,0.6669992534506091,0.011375938298106462,0.008734859195292488,-0.011101538647562026,0.0010385763876204824,0.009566995413912743,0.005020100706570441,0.04503097749203744,0.001664826987837631,0.00786670226351697,0.03322279073529533,0.35295763158341975,0.00786670226351697,,0.0050917227114331,,,,0.006385253534324486,,,,0.010303739950451904,-0.003537928989194361,0.012179287107972447,0.01367975079719154,10,0,2026-03-31,top10,,,,,,,,,,,,0.0138265819067255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03750956105798986,0.10433106184474661,0.013459155045014569,0.0138265819067255,0.03750956105798986,0.10433106184474661,0.013459155045014569,,,,,,,,,,,,,,,,,,,,,,,0.005091722711433011,,0.005091722711433011,,,,,,,,,,,,,,,low,2025-02-26,2025-02-27,-0.0003996802557952872,,,0.004708641756835013,0.003413691374742913,,,
