date,nav,acc_nav,daily_growth_pct,fund_ret,fund_ret_lag1,fund_ret_lag2,fund_ret_lag3,fund_ret_lag5,fund_ret_lag10,fund_ret_mean_5,fund_ret_std_5,fund_mom_5,fund_ret_mean_10,fund_ret_std_10,fund_mom_10,fund_ret_mean_20,fund_ret_std_20,fund_mom_20,fund_ret_mean_60,fund_ret_std_60,fund_mom_60,fund_drawdown_20,fund_drawdown_60,hs300_ret,hs300_ret_mean_5,hs300_ret_std_5,hs300_mom_5,hs300_volume_chg_5,hs300_ret_mean_20,hs300_ret_std_20,hs300_mom_20,hs300_volume_chg_20,hs300_volume_chg_5,hs300_volume_chg_20,zz500_ret,zz500_ret_mean_5,zz500_ret_std_5,zz500_mom_5,zz500_volume_chg_5,zz500_ret_mean_20,zz500_ret_std_20,zz500_mom_20,zz500_volume_chg_20,zz500_volume_chg_5,zz500_volume_chg_20,zz1000_ret,zz1000_ret_mean_5,zz1000_ret_std_5,zz1000_mom_5,zz1000_volume_chg_5,zz1000_ret_mean_20,zz1000_ret_std_20,zz1000_mom_20,zz1000_volume_chg_20,zz1000_volume_chg_5,zz1000_volume_chg_20,cyb_ret,cyb_ret_mean_5,cyb_ret_std_5,cyb_mom_5,cyb_volume_chg_5,cyb_ret_mean_20,cyb_ret_std_20,cyb_mom_20,cyb_volume_chg_20,cyb_volume_chg_5,cyb_volume_chg_20,kcb50_ret,kcb50_ret_mean_5,kcb50_ret_std_5,kcb50_mom_5,kcb50_volume_chg_5,kcb50_ret_mean_20,kcb50_ret_std_20,kcb50_mom_20,kcb50_volume_chg_20,kcb50_volume_chg_5,kcb50_volume_chg_20,style_growth_vs_large,style_small_vs_large,style_tech_vs_large,target_next
2019-09-19,1.142,3.553,0.62,,,,,,,,,,,,,,,,,,,,,0.0036572141746460396,-0.0002462134356978618,0.010585902100559201,-0.0014554337039769383,-0.3465988854049218,0.0018862024908001373,0.008395598565235925,0.037712599424606585,0.044767464487585285,-0.3465988854049218,0.044767464487585285,0.009848201920234168,-0.0009279089159620835,0.01179501679878173,-0.004910595347393021,-0.23766166577580883,0.0031253299066621833,0.010578339855556024,0.06327415866566177,0.03753814774884612,-0.23766166577580883,0.03753814774884612,,,,,,,,,,,,0.01565523935425861,0.00031389081919137586,0.013393022474646828,0.0012092466276107938,-0.13859580825100049,0.0029581964416616423,0.011686815041633936,0.05949075368206569,0.046816055601376805,-0.13859580825100049,0.046816055601376805,,,,,,,,,,,,0.01199802517961257,,,0.00028145229383613746
2019-09-20,1.143,3.554,0.09,0.00028145229383613746,,,,,,,,,,,,,,,,,,,,0.0028717912128795042,-0.0018234543890711884,0.009006055964392912,-0.009246346019262996,-0.061549707082479976,0.0018744411037372234,0.008393962917637074,0.037469256704213194,0.2056708415749604,-0.061549707082479976,0.2056708415749604,0.002467414146122504,-0.001405044932920152,0.01154837231553137,-0.007273094889759135,-0.019343089283536674,0.0031955540071589906,0.01056858539553537,0.0647659224494721,0.1452893276538254,-0.019343089283536674,0.1452893276538254,,,,,,,,,,,,-0.0003224671669793677,-0.0005759427881951052,0.013223091693934347,-0.0032269945106017106,0.08893318692053898,0.0028293282593250422,0.011709167018865645,0.05676620430627333,0.15473634652900792,0.08893318692053898,0.15473634652900792,,,,,,,,,,,,-0.003194258379858872,,,-0.0022509848058525073
2019-09-23,1.135,3.546,-0.7,-0.0022509848058525073,0.00028145229383613746,,,,,,,,,,,,,,,,,,,-0.011431402690788128,-0.003371638370504626,0.01001597079013916,-0.01694409912778061,-0.1471395686500585,0.0009423868792652723,0.008795692247240559,0.018268138586600813,0.06914524283515733,-0.1471395686500585,0.06914524283515733,-0.006340691096901163,-0.0029680744373664194,0.011590010584308506,-0.015019979658460358,-0.170661362694428,0.002878621745523097,0.010762780291771454,0.05801673520325701,0.14733066118895177,-0.170661362694428,0.14733066118895177,,,,,,,,,,,,-0.012158001231635462,-0.0034518393801847625,0.01400326036685209,-0.017528304858344446,-0.03471307412376878,0.0021563506625084327,0.01217896205355339,0.04256109336700575,0.13307405591019572,-0.03471307412376878,0.13307405591019572,,,,,,,,,,,,-0.0007265985408473341,,,0.0011280315848842815
2019-09-24,1.139,3.55,0.35,0.0011280315848842815,-0.0022509848058525073,0.00028145229383613746,,,,,,,,,,,,,,,,,,0.0026782088386032576,0.0005245241010556123,0.0067377314409200004,0.0025339096735728095,-0.22790135387416632,0.0017953762720075595,0.008024820604915344,0.03589305108194307,-0.06473564161255085,-0.22790135387416632,-0.06473564161255085,0.0017905899278349846,0.0015760581682061625,0.005789627930091397,0.007837835208979849,-0.17638040797469534,0.0032999910913389273,0.010533157995014763,0.06699262273811324,0.06867880241769586,-0.17638040797469534,0.06867880241769586,,,,,,,,,,,,0.006103353282036705,0.0020129559400932527,0.010131846922946157,0.009898747906721628,0.032280964497951814,0.0029183258732194905,0.011908999980805392,0.05859570214892562,0.2737748499760324,0.032280964497951814,0.2737748499760324,,,,,,,,,,,,0.0034251444434334477,,,-0.0033802816901408184
2019-09-25,1.127,3.538,-1.05,-0.0033802816901408184,0.0011280315848842815,-0.0022509848058525073,0.00028145229383613746,,,,,,,,,,,,,,,,,-0.007715812031539926,-0.0019880000992398505,0.007057712159136471,-0.009999795400605582,0.09097043803577876,0.0007319274151881439,0.007790533406394602,0.014155281049005097,-0.28229156169951297,0.09097043803577876,-0.28229156169951297,-0.018092010021734217,-0.0020652990248887448,0.010635780599251543,-0.010509546706502948,0.029555942650408618,0.001564779278450662,0.011069597615406684,0.030568543714496466,-0.14778936147888522,0.029555942650408618,-0.14778936147888522,,,,,,,,,,,,-0.012952909241118693,-0.0007349570006876416,0.012199748648958574,-0.003965914572056306,0.20549891973307877,0.00141735707283272,0.011923725567637088,0.027350563840503384,0.007791631992737358,0.20549891973307877,0.007791631992737358,,,,,,,,,,,,-0.005237097209578767,,,-0.004804974561899322
2019-09-26,1.11,3.521,-1.51,-0.004804974561899322,-0.0033802816901408184,0.0011280315848842815,-0.0022509848058525073,,,-0.0018053514358344458,0.0024817442987359914,-0.009006473402758286,,,,,,,,,,,,-0.007708642255966236,-0.004261171385362306,0.006600491794023064,-0.02121099383851721,0.19438519650543395,0.0005347346034024203,0.007958447643259668,0.010140483566420722,0.15715336779115896,0.19438519650543395,0.15715336779115896,-0.02295454500777483,-0.008625848410490545,0.011529357826665141,-0.042651015954403904,0.07422547449366212,0.0004973782762082435,0.012347036786727578,0.008532544402711784,-0.04367460070019391,0.07422547449366212,-0.04367460070019391,,,,,,,,,,,,-0.029211132035990905,-0.009708231278737545,0.013555360748916296,-0.047965525328330205,0.16756034864062808,4.678155350866242e-05,0.01374871332686127,-0.0008614377395874673,0.31590973105567954,0.16756034864062808,0.31590973105567954,,,,,,,,,,,,-0.02150248978002467,,,0.0008520306731043537
2019-09-27,1.113,3.524,0.27,0.0008520306731043537,-0.004804974561899322,-0.0033802816901408184,0.0011280315848842815,0.00028145229383613746,,-0.0016912357599808026,0.0026114190101646697,-0.008441193021947013,,,,,,,,,,,,0.002996506245541708,-0.004236228378829865,0.006634334670677173,-0.021089273690495847,-0.28468159502932044,0.0008474756202800637,0.007924372302085413,0.016479384938485886,-0.11987432190380243,-0.28468159502932044,-0.11987432190380243,0.007120380504764379,-0.007695255138762169,0.012769667177493954,-0.03820746741269054,-0.21082229763199867,0.0007926244822166806,0.012435395464369024,0.014480622920120423,-0.23227253050238839,-0.21082229763199867,-0.23227253050238839,,,,,,,,,,,,0.014620117133373078,-0.006719714418667056,0.017277955778374737,-0.03373508108266621,-0.042603393118829325,0.0009110026034777951,0.014107873520330605,0.01645422800241847,0.17721480682883195,-0.042603393118829325,0.17721480682883195,,,,,,,,,,,,0.01162361088783137,,,-0.0034052213393870323
2019-09-30,1.101,3.512,-1.08,-0.0034052213393870323,0.0008520306731043537,-0.004804974561899322,-0.0033802816901408184,-0.0022509848058525073,,-0.0019220830666877077,0.002721948390564503,-0.00958826847151717,,,,,,,,,,,,-0.009894488209414298,-0.0039288454825550986,0.006241605077953241,-0.019567374173019347,-0.29887324059290177,0.0002287468722959207,0.008265927890105865,0.00393200318981779,-0.31815284427398893,-0.29887324059290177,-0.31815284427398893,-0.012931439199461492,-0.009013404759274235,0.012933993843353296,-0.044586849412547314,-0.3050207019652288,0.000629314178689061,0.012600317205215938,0.01113478181680505,-0.35789087283646204,-0.3050207019652288,-0.35789087283646204,,,,,,,,,,,,-0.012127245027404698,-0.006713563177820903,0.01727554093330655,-0.03370499667521609,-0.17713526207402086,0.0006118846545149159,0.014327064406624034,0.010335837109690216,-0.2176848202230015,-0.17713526207402086,-0.2176848202230015,,,,,,,,,,,,-0.0022327568179904,,,-0.00028473804100226374
2019-10-08,1.1,3.511,-0.09,-0.00028473804100226374,-0.0034052213393870323,0.0008520306731043537,-0.004804974561899322,0.0011280315848842815,,-0.0022046369918650166,0.002377736734051101,-0.010985915492957687,,,,,,,,,,,,0.006068899707172282,-0.003250707308841294,0.007242805412256823,-0.01625190972756263,-0.12673682805630215,-0.00010906154073844765,0.007851729622788132,-0.0027648428405122605,-0.3049386754472546,-0.12673682805630215,-0.3049386754472546,0.00017405735797138,-0.009336711273246956,0.012612625721934915,-0.046128545342943195,-0.297103249830738,-0.0006083786280172531,0.011229049592517032,-0.013285945330750892,-0.38644724796802987,-0.297103249830738,-0.38644724796802987,,,,,,,,,,,,-0.006740192313600235,-0.00928227229694829,0.015783799344833482,-0.046040363507612425,-0.24867181654963466,-0.0010098105406548153,0.013123678485716208,-0.021612428810923068,-0.2356442268670509,-0.24867181654963466,-0.2356442268670509,,,,,,,,,,,,-0.012809092020772517,,,0.0011392765593847276
2019-10-09,1.104,3.515,0.36,0.0011392765593847276,-0.00028473804100226374,-0.0034052213393870323,0.0008520306731043537,-0.0033802816901408184,,-0.0013007253419599074,0.002661243315318085,-0.00650084793668726,,,,,,,,,,,,0.0014487919784869074,-0.0014177865068359275,0.006985396570597827,-0.007166143973877492,-0.1526607967854634,-0.00010535323235127402,0.007852484714767202,-0.0026909832598525085,-0.2237138753180793,-0.1526607967854634,-0.2237138753180793,0.008335087094476279,-0.004051291850004857,0.013530264404130615,-0.0204560242657279,-0.27870217374479456,-0.0005498296523641811,0.011274668901371538,-0.012138742075025188,-0.3903612899270521,-0.27870217374479456,-0.3903612899270521,,,,,,,,,,,,0.0036125647972882202,-0.005969177489266908,0.016541112032746056,-0.03003019161211251,-0.3036685720410712,-0.0010755070984954152,0.013095656373380308,-0.022891660593942542,-0.35627804295166365,-0.3036685720410712,-0.35627804295166365,,,,,,,,,,,,0.0021637728188013128,,,0.0036984352773825613
