date,target_next,pred,residual,volatility_regime,feature_date,target_date,zero_baseline,rolling_mean_baseline,rolling_median_baseline,last_ret_baseline,abs_error,p_up,p_down,strong_signal
2026-02-05,-0.005822748679891521,0.003803276014764401,-0.009626024694655922,low_vol,2026-02-05,2026-02-06,0.0,0.006382501819901313,0.002609410988420713,-0.043073309297498086,0.009626024694655922,0.5869773248165819,0.41302267518341806,False
2026-02-06,0.06988027906175542,0.00411544166632507,0.06576483739543035,low_vol,2026-02-06,2026-02-09,0.0,0.006442920985950392,0.002609410988420713,-0.005822748679891521,0.06576483739543035,0.5881645519703004,0.4118354480296996,False
2026-02-09,-0.012370857372870026,0.005993450139824004,-0.01836430751269403,high_vol,2026-02-09,2026-02-10,0.0,0.0068088370233085165,0.002609410988420713,0.06988027906175542,0.01836430751269403,0.5825626571519732,0.4174373428480268,False
2026-02-10,-0.021872622541028175,0.003945961110642862,-0.025818583651671036,high_vol,2026-02-10,2026-02-11,0.0,0.006759088356332093,0.002609410988420713,-0.012370857372870026,0.025818583651671036,0.5845243554332606,0.41547564456673935,False
2026-02-11,0.04289008028000785,0.0028064924761201223,0.040083587803887724,high_vol,2026-02-11,2026-02-12,0.0,0.006676125004042133,0.002609410988420713,-0.021872622541028175,0.040083587803887724,0.5824454708062955,0.4175545291937045,False
2026-02-12,-0.02652957941560352,0.004373362556152661,-0.030902941971756182,high_vol,2026-02-12,2026-02-13,0.0,0.006998124767173755,0.0027152704882663636,0.04289008028000785,0.030902941971756182,0.5839544745956505,0.41604552540434947,False
2026-02-13,0.029605713191233285,0.0021244971222668355,0.02748121606896645,high_vol,2026-02-13,2026-02-24,0.0,0.006751014591763156,0.002609410988420713,-0.02652957941560352,0.02748121606896645,0.5798650378325364,0.4201349621674636,False
2026-02-24,-0.0029232772595604306,0.0029419721085797734,-0.0058652493681402035,high_vol,2026-02-24,2026-02-25,0.0,0.007015788403536885,0.0027152704882663636,0.029605713191233285,0.0058652493681402035,0.5817180721308718,0.4182819278691282,False
2026-02-25,0.03201044803965991,0.00340282079658538,0.02860762724307453,high_vol,2026-02-25,2026-02-26,0.0,0.006823294244959219,0.002609410988420713,-0.0029232772595604306,0.02860762724307453,0.5868217130078821,0.4131782869921179,False
2026-02-26,-0.020351239669421428,0.0017816214735054399,-0.02213286114292687,high_vol,2026-02-26,2026-02-27,0.0,0.006886933815617456,0.002609410988420713,0.03201044803965991,0.02213286114292687,0.5835819274348409,0.41641807256515906,False
2026-02-27,0.017768638616471488,0.0005271875722121771,0.01724145104425931,high_vol,2026-02-27,2026-03-02,0.0,0.0068379409652201415,0.002609410988420713,-0.020351239669421428,0.01724145104425931,0.586502070373757,0.413497929626243,False
2026-03-02,-0.02199140030047142,0.0007602722345201283,-0.022751672534991548,mid_vol,2026-03-02,2026-03-03,0.0,0.006983214384094275,0.0027152704882663636,0.017768638616471488,0.022751672534991548,0.582795246251491,0.41720475374850896,False
2026-03-03,-0.012342082262891685,0.0024018042214489304,-0.014743886484340616,high_vol,2026-03-03,2026-03-04,0.0,0.00663364376228708,0.002609410988420713,-0.02199140030047142,0.014743886484340616,0.5819662025757916,0.41803379742420843,False
2026-03-04,0.003110670134885085,0.003620968520040743,-0.000510298385155658,high_vol,2026-03-04,2026-03-05,0.0,0.006162218156465439,0.0024346037767756235,-0.012342082262891685,0.000510298385155658,0.5849886173134429,0.41501138268655713,False
2026-03-05,-0.01769722244499683,0.006636127797227023,-0.024333350242223852,mid_vol,2026-03-05,2026-03-06,0.0,0.006118889098608101,0.0024346037767756235,0.003110670134885085,0.024333350242223852,0.5847797080360325,0.4152202919639675,False
2026-03-06,-0.0375833446727446,0.0065405644493147196,-0.044123909122059324,mid_vol,2026-03-06,2026-03-09,0.0,0.005925130332763165,0.002262298036557975,-0.01769722244499683,0.044123909122059324,0.5830809516626049,0.4169190483373951,False
2026-03-09,0.06283225879425403,0.0051072195613693,0.057725039232884724,mid_vol,2026-03-09,2026-03-10,0.0,0.005717536908631933,0.002262298036557975,-0.0375833446727446,0.057725039232884724,0.586429311869243,0.41357068813075704,False
2026-03-10,-0.004895439791411604,0.0053632302099469635,-0.010258670001358567,high_vol,2026-03-10,2026-03-11,0.0,0.006081043361297415,0.0024346037767756235,0.06283225879425403,0.010258670001358567,0.5831982927663635,0.4168017072336365,False
2026-03-11,-0.01582803058659965,0.003781306193273509,-0.01960933677987316,high_vol,2026-03-11,2026-03-12,0.0,0.005850780784832873,0.002262298036557975,-0.004895439791411604,0.01960933677987316,0.5815167070071113,0.41848329299288867,False
2026-03-12,-0.005922303721814792,0.0027413669703216055,-0.008663670692136399,mid_vol,2026-03-12,2026-03-13,0.0,0.0057395714395704015,0.001991124880550088,-0.01582803058659965,0.008663670692136399,0.5844477780138301,0.4155522219861699,False
2026-03-13,0.02005902929602099,0.0031094359592204694,0.016949593336800524,mid_vol,2026-03-13,2026-03-16,0.0,0.005508491600499011,0.00175498082828085,-0.005922303721814792,0.016949593336800524,0.5863187273674435,0.4136812726325565,False
2026-03-16,-0.06129775491614431,0.004189291464283738,-0.06548704638042804,mid_vol,2026-03-16,2026-03-17,0.0,0.005611724513952205,0.001991124880550088,0.02005902929602099,0.06548704638042804,0.5793988607844671,0.4206011392155329,False
2026-03-17,0.040613048689993825,0.0002976026138141034,0.04031544607617972,low_vol,2026-03-17,2026-03-18,0.0,0.005042865826662937,0.00175498082828085,-0.06129775491614431,0.04031544607617972,0.5871767902084807,0.4128232097915193,False
2026-03-18,0.003976851978826579,0.004149646219935176,-0.00017279424110859705,mid_vol,2026-03-18,2026-03-19,0.0,0.005294967640869659,0.001991124880550088,0.040613048689993825,0.00017279424110859705,0.5833191216826172,0.41668087831738276,False
2026-03-19,0.02843796099000162,0.002024656011186865,0.026413304978814757,mid_vol,2026-03-19,2026-03-20,0.0,0.005418790297087627,0.002262298036557975,0.003976851978826579,0.026413304978814757,0.581631833045588,0.41836816695441204,False
2026-03-20,-0.05692352644301013,0.002810917277196657,-0.05973444372020679,low_vol,2026-03-20,2026-03-23,0.0,0.00566722335511129,0.0024346037767756235,0.02843796099000162,0.05973444372020679,0.5857657617019011,0.4142342382980989,False
2026-03-23,0.019941415051825118,-0.00017164604179323133,0.02011306109361835,mid_vol,2026-03-23,2026-03-24,0.0,0.005391182546564137,0.0024346037767756235,-0.05692352644301013,0.02011306109361835,0.5865365998231141,0.4134634001768859,False
2026-03-24,0.03730807467137964,0.0061080339920909135,0.031200040679288728,mid_vol,2026-03-24,2026-03-25,0.0,0.005429978804174725,0.0024346037767756235,0.019941415051825118,0.031200040679288728,0.5837042807248152,0.41629571927518483,False
2026-03-25,-0.007347655938024111,0.0073054843385731635,-0.014653140276597275,high_vol,2026-03-25,2026-03-26,0.0,0.005536195404859772,0.0024346037767756235,0.03730807467137964,0.014653140276597275,0.5837211289026647,0.4162788710973353,False
2026-03-26,-0.0015555019175583773,0.0035967965083083986,-0.0051522984258667755,mid_vol,2026-03-26,2026-03-27,0.0,0.005270709910652759,0.002262298036557975,-0.007347655938024111,0.0051522984258667755,0.582128936698805,0.41787106330119494,False
2026-03-27,-0.0048886620645196555,0.005630846580017557,-0.010519508644537212,mid_vol,2026-03-27,2026-03-30,0.0,0.005172270888818665,0.001991124880550088,-0.0015555019175583773,0.010519508644537212,0.580706511793099,0.41929348820690104,False
2026-03-30,-0.030906686101438763,0.0018957922251055834,-0.03280247832654434,mid_vol,2026-03-30,2026-03-31,0.0,0.005135483905200817,0.001991124880550088,-0.0048886620645196555,0.03280247832654434,0.5860970675976584,0.41390293240234155,False
2026-03-31,0.046014149629547196,0.001428458375406921,0.044585691254140275,mid_vol,2026-03-31,2026-04-01,0.0,0.005080486234328683,0.001991124880550088,-0.030906686101438763,0.044585691254140275,0.5826122151376557,0.4173877848623443,False
