date,target_next,p_up,p_down,direction_signal,direction_strength,strong_signal,direction_correct
2025-10-31,0.005234041143538537,0.5998342506406107,0.4001657493593893,neutral,none,False,False
2025-11-03,-0.00777722853847429,0.551189793681186,0.44881020631881396,neutral,none,False,False
2025-11-04,-0.0018599089973097005,0.46292906441302173,0.5370709355869783,neutral,none,False,False
2025-11-05,0.050111469736798364,0.652273290882561,0.34772670911743897,bullish,strong,True,True
2025-11-06,-0.010646725181406191,0.6465518554338336,0.35344814456616636,bullish,weak,True,False
2025-11-07,-0.005572814912083945,0.6803316286306638,0.31966837136933623,bullish,strong,True,False
2025-11-10,-0.020354922863860425,0.48189186587631405,0.518108134123686,neutral,none,False,False
2025-11-11,0.002761613571358179,0.6422307751884913,0.35776922481150875,bullish,weak,True,True
2025-11-12,-0.0034752958919380683,0.6803316286306638,0.31966837136933623,bullish,strong,True,False
2025-11-13,-0.037835170258266104,0.5039840634097837,0.49601593659021626,neutral,none,False,False
2025-11-14,0.015182082407249053,0.48730820960052784,0.5126917903994721,neutral,none,False,False
2025-11-17,0.003166155815285121,0.6762273593366731,0.3237726406633269,bullish,strong,True,True
2025-11-18,0.005942987610381811,0.6161510342560321,0.3838489657439679,bullish,weak,True,True
2025-11-19,0.012216288384512719,0.7200377024761264,0.2799622975238736,bullish,strong,True,True
2025-11-20,-0.042504781375717116,0.5390409864435222,0.46095901355647784,neutral,none,False,False
2025-11-21,-0.0026862279161070646,0.7568862896590643,0.24311371034093565,bullish,strong,True,False
2025-11-24,0.05093407921544246,0.6793556689937886,0.32064433100621137,bullish,strong,True,True
2025-11-25,0.04360254977985134,0.6746808856334654,0.3253191143665346,bullish,strong,True,True
2025-11-26,-0.003337426403450694,0.584511547990236,0.41548845200976403,neutral,none,False,False
2025-11-27,-0.0024956562944243865,0.624457905852117,0.375542094147883,bullish,weak,True,False
2025-11-28,0.011116037496833098,0.7081292576145696,0.2918707423854304,bullish,strong,True,True
2025-12-01,-0.0006577504933128475,0.567795808387891,0.432204191612109,neutral,none,False,False
2025-12-02,0.0023193129818843694,0.7340848120970987,0.26591518790290125,bullish,strong,True,True
2025-12-03,0.00869293308317709,0.6463835962129306,0.3536164037870694,bullish,weak,True,True
2025-12-04,0.015376030752061398,0.7251911357463247,0.27480886425367534,bullish,strong,True,True
2025-12-05,0.0695182267814618,0.6391339459506805,0.3608660540493195,bullish,weak,True,True
2025-12-08,0.038394564814021814,0.4578252318996098,0.5421747681003902,neutral,none,False,False
2025-12-09,-0.0014844952716076554,0.5508363551741744,0.4491636448258256,neutral,none,False,False
2025-12-10,-0.02554925389571061,0.5773149318471527,0.42268506815284734,neutral,none,False,False
2025-12-11,0.010821043114652262,0.5735675559103811,0.4264324440896189,neutral,none,False,False
2025-12-12,-0.02515582636889635,0.5529304621158018,0.44706953788419823,neutral,none,False,False
2025-12-15,-0.01840754652062948,0.4622550313196728,0.5377449686803272,neutral,none,False,False
2025-12-16,0.06180809113480357,0.45100814442364573,0.5489918555763542,neutral,none,False,False
2025-12-17,-0.02607906247420988,0.5341630903421836,0.46583690965781643,neutral,none,False,False
2025-12-18,-0.009321243962376102,0.6024898418977834,0.39751015810221657,bullish,weak,True,False
2025-12-19,0.04060103213297994,0.4476042015371683,0.5523957984628317,neutral,none,False,False
2025-12-22,0.012357180042195104,0.4642504275712277,0.5357495724287723,neutral,none,False,False
2025-12-23,0.017619356934069463,0.6096332929467309,0.39036670705326915,bullish,weak,True,True
2025-12-24,-0.006728902364424583,0.6633692930775157,0.3366307069224843,bullish,strong,True,False
2025-12-25,-0.009693139827558483,0.4723541722535271,0.5276458277464728,neutral,none,False,False
2025-12-26,0.005434782608695787,0.623973161631219,0.37602683836878104,bullish,weak,True,True
2025-12-29,-0.0018018018018017834,0.6943147255425254,0.3056852744574746,bullish,strong,True,False
2025-12-30,-0.02793792769006964,0.6636644565362292,0.3363355434637708,bullish,strong,True,False
2025-12-31,0.015603780383027122,0.6018631946154356,0.3981368053845644,bullish,weak,True,True
2026-01-05,-0.015418622421133121,0.6526801478093023,0.3473198521906977,bullish,strong,True,False
2026-01-06,0.009479198425677016,0.5831105706334685,0.4168894293665315,neutral,none,False,False
2026-01-07,-0.021800609538453086,0.7466598438927835,0.2533401561072165,bullish,strong,True,False
2026-01-08,0.005192690936649091,0.494656848475906,0.505343151524094,neutral,none,False,False
2026-01-09,-0.010834357198704292,0.6735661849589468,0.3264338150410532,bullish,strong,True,False
2026-01-12,-0.036641824751580954,0.5722021825120462,0.42779781748795376,neutral,none,False,False
2026-01-13,0.012571060188712346,0.5993467255578807,0.4006532744421193,neutral,none,False,False
2026-01-14,0.02601649544204898,0.5722021825120462,0.42779781748795376,neutral,none,False,False
2026-01-15,0.007107801658487123,0.6768619602442285,0.3231380397557715,bullish,strong,True,True
2026-01-16,-0.014507365708844477,0.5857459580913364,0.41425404190866355,neutral,none,False,False
2026-01-19,-0.04217346822780499,0.5038615718490214,0.49613842815097864,neutral,none,False,False
2026-01-20,0.027830524566816894,0.5993467255578807,0.4006532744421193,neutral,none,False,False
2026-01-21,0.03114716240401827,0.7057606661617908,0.2942393338382092,bullish,strong,True,True
2026-01-22,-0.03387363175722968,0.5645009098314661,0.43549909016853394,neutral,none,False,False
2026-01-23,0.0016806235692967686,0.5645009098314661,0.43549909016853394,neutral,none,False,False
2026-01-26,0.033585003905233,0.4309812134872083,0.5690187865127917,neutral,none,False,False
2026-01-27,0.010551357402742711,0.6512333684997709,0.34876663150022913,bullish,strong,True,True
2026-01-28,-0.02046694546763783,0.5410029623925977,0.4589970376074023,neutral,none,False,False
2026-01-29,0.04993214204931018,0.5150482292526976,0.48495177074730245,neutral,none,False,False
2026-01-30,-0.0278989605213551,0.5411873879126295,0.45881261208737045,neutral,none,False,False
2026-02-02,0.04446229708017069,0.6704606952009783,0.3295393047990217,bullish,strong,True,True
2026-02-03,-0.028936689388112447,0.634974473008748,0.365025526991252,bullish,weak,True,False
2026-02-04,-0.043073309297498086,0.3940597039285573,0.6059402960714426,bearish,weak,True,True
2026-02-05,-0.005822748679891521,0.5111880912628807,0.4888119087371193,neutral,none,False,False
2026-02-06,0.06988027906175542,0.7312890559499436,0.26871094405005636,bullish,strong,True,True
2026-02-09,-0.012370857372870026,0.5199821327333506,0.4800178672666494,neutral,none,False,False
2026-02-10,-0.021872622541028175,0.5341672576139043,0.46583274238609573,neutral,none,False,False
2026-02-11,0.04289008028000785,0.5438537406680692,0.45614625933193076,neutral,none,False,False
2026-02-12,-0.02652957941560352,0.604057117567074,0.39594288243292597,bullish,weak,True,False
2026-02-13,0.029605713191233285,0.6344735554242424,0.36552644457575756,bullish,weak,True,True
2026-02-24,-0.0029232772595604306,0.4479537025639987,0.5520462974360013,neutral,none,False,False
2026-02-25,0.03201044803965991,0.6673248416404071,0.33267515835959294,bullish,strong,True,True
2026-02-26,-0.020351239669421428,0.6194721558210463,0.3805278441789537,bullish,weak,True,False
2026-02-27,0.017768638616471488,0.5087826209446624,0.4912173790553376,neutral,none,False,False
2026-03-02,-0.02199140030047142,0.5998342506406107,0.4001657493593893,neutral,none,False,False
2026-03-03,-0.012342082262891685,0.530740428366602,0.46925957163339804,neutral,none,False,False
2026-03-04,0.003110670134885085,0.7729278045726069,0.2270721954273931,bullish,strong,True,True
2026-03-05,-0.01769722244499683,0.6391339459506805,0.3608660540493195,bullish,weak,True,False
2026-03-06,-0.0375833446727446,0.6018911100494551,0.39810888995054494,bullish,weak,True,False
2026-03-09,0.06283225879425403,0.7031579500453292,0.2968420499546708,bullish,strong,True,True
2026-03-10,-0.004895439791411604,0.4589613901572056,0.5410386098427944,neutral,none,False,False
2026-03-11,-0.01582803058659965,0.6696270078529766,0.3303729921470234,bullish,strong,True,False
2026-03-12,-0.005922303721814792,0.6161510342560321,0.3838489657439679,bullish,weak,True,False
2026-03-13,0.02005902929602099,0.6243003931679243,0.3756996068320757,bullish,weak,True,True
2026-03-16,-0.06129775491614431,0.5198352537622595,0.4801647462377405,neutral,none,False,False
2026-03-17,0.040613048689993825,0.5717552949711575,0.4282447050288425,neutral,none,False,False
2026-03-18,0.003976851978826579,0.4578252318996098,0.5421747681003902,neutral,none,False,False
2026-03-19,0.02843796099000162,0.5346404186908402,0.4653595813091598,neutral,none,False,False
2026-03-20,-0.05692352644301013,0.4948336287068642,0.5051663712931358,neutral,none,False,False
2026-03-23,0.019941415051825118,0.5137471401428989,0.4862528598571011,neutral,none,False,False
2026-03-24,0.03730807467137964,0.6131686423530184,0.3868313576469816,bullish,weak,True,True
2026-03-25,-0.007347655938024111,0.6066682353107603,0.3933317646892397,bullish,weak,True,False
2026-03-26,-0.0015555019175583773,0.34146606461937823,0.6585339353806218,bearish,strong,True,True
2026-03-27,-0.0048886620645196555,0.33261982710647625,0.6673801728935238,bearish,strong,True,True
2026-03-30,-0.030906686101438763,0.6085668136836826,0.3914331863163174,bullish,weak,True,False
2026-03-31,0.046014149629547196,0.5948873357278773,0.40511266427212267,neutral,none,False,False
2026-04-01,-0.021355914150290256,0.5267893620217257,0.47321063797827434,neutral,none,False,False
2026-04-02,0.0384196778406618,0.5742751181732033,0.4257248818267967,neutral,none,False,False
2026-04-03,-0.005554973273241726,0.5500966358928728,0.44990336410712717,neutral,none,False,False
2026-04-07,0.0726180438448567,0.5898161843877113,0.41018381561228867,neutral,none,False,False
2026-04-08,0.010661295077134758,0.42796486540167517,0.5720351345983248,neutral,none,False,False
2026-04-09,0.032570122988673234,0.6820888571490691,0.3179111428509309,bullish,strong,True,True
2026-04-10,0.013252671719787168,0.4368331425831152,0.5631668574168849,neutral,none,False,False
2026-04-13,0.021907306307352714,0.5691401463734979,0.43085985362650214,neutral,none,False,False
2026-04-14,-0.013799217968536781,0.49123192509945474,0.5087680749005452,neutral,none,False,False
2026-04-15,0.0376201562896199,0.6297028730990323,0.3702971269009677,bullish,weak,True,True
2026-04-16,0.054895252482616286,0.5375077905707659,0.4624922094292341,neutral,none,False,False
2026-04-17,0.008971443012383062,0.48172971572368384,0.5182702842763162,neutral,none,False,False
2026-04-20,-0.007827175954915555,0.6254895038447591,0.3745104961552409,bullish,weak,True,False
2026-04-21,0.039150099926370086,0.4690936927915109,0.5309063072084891,neutral,none,False,False
2026-04-22,-0.025042513563851343,0.6330934223686261,0.3669065776313739,bullish,weak,True,False
2026-04-23,-0.030565418717166004,0.6254895038447591,0.3745104961552409,bullish,weak,True,False
