date,open,high,low,close,volume,source
2012-12-31,3242.96,3275.86,3236.63,3275.86,47415844,sohu
2013-01-04,3297.04,3304.76,3226.95,3258.25,46170856,sohu
2013-01-07,3253.67,3288.65,3245.46,3288.37,42731124,sohu
2013-01-08,3288.12,3331.67,3270.76,3327.04,51963828,sohu
2013-01-09,3321.76,3359.07,3303.8,3334.99,50927396,sohu
2013-01-10,3335.09,3368.0,3329.93,3356.35,47901956,sohu
2013-01-11,3357.47,3360.41,3262.83,3271.18,51300536,sohu
2013-01-14,3264.15,3387.5,3262.57,3384.75,56753228,sohu
2013-01-15,3390.33,3463.26,3389.78,3450.68,69368968,sohu
2013-01-16,3448.28,3462.59,3393.71,3450.56,62908484,sohu
2013-01-17,3444.47,3452.37,3399.66,3408.02,47415540,sohu
2013-01-18,3416.45,3466.53,3406.6,3464.65,51118612,sohu
2013-01-21,3475.2,3492.22,3458.87,3491.12,53789532,sohu
2013-01-22,3487.57,3487.57,3409.84,3435.43,53474120,sohu
2013-01-23,3422.77,3451.26,3393.05,3441.75,43357372,sohu
2013-01-24,3442.62,3473.98,3344.98,3369.73,57174968,sohu
2013-01-25,3363.43,3382.77,3346.24,3364.06,37099188,sohu
2013-01-28,3362.47,3449.95,3362.22,3449.79,45422120,sohu
2013-01-29,3451.66,3489.86,3447.82,3482.52,49280372,sohu
2013-01-30,3482.57,3502.72,3462.37,3500.58,54218932,sohu
2013-01-31,3497.28,3499.15,3463.2,3479.64,48591252,sohu
2013-02-01,3471.27,3507.83,3462.68,3507.71,47925488,sohu
2013-02-04,3517.46,3524.04,3467.02,3484.36,55937444,sohu
2013-02-05,3466.59,3520.99,3457.43,3520.65,47711136,sohu
2013-02-06,3521.66,3555.94,3521.64,3544.39,42308704,sohu
2013-02-07,3539.48,3565.38,3526.03,3557.67,38704836,sohu
2013-02-08,3554.15,3618.84,3553.8,3608.59,37928304,sohu
2013-02-18,3625.03,3639.36,3604.01,3627.78,45099280,sohu
2013-02-19,3624.94,3630.65,3546.72,3561.36,48420992,sohu
2013-02-20,3555.59,3635.38,3553.49,3635.38,44252308,sohu
2013-02-21,3612.72,3612.72,3531.13,3560.32,54411628,sohu
2013-02-22,3552.67,3587.71,3543.02,3548.36,41585440,sohu
2013-02-25,3551.6,3595.6,3551.37,3587.59,37677104,sohu
2013-02-26,3573.95,3600.46,3532.27,3533.2,43386756,sohu
2013-02-27,3538.94,3568.69,3506.76,3535.9,38234976,sohu
2013-02-28,3544.06,3608.2,3531.9,3608.2,46062092,sohu
2013-03-01,3608.62,3648.69,3603.98,3648.42,50173280,sohu
2013-03-04,3614.56,3614.56,3496.05,3518.72,64588088,sohu
2013-03-05,3516.53,3598.01,3507.03,3597.92,50380216,sohu
2013-03-06,3605.36,3654.11,3605.36,3653.93,58246380,sohu
2013-03-07,3648.28,3651.74,3575.98,3609.64,54941456,sohu
2013-03-08,3608.9,3626.92,3564.23,3570.38,39649240,sohu
2013-03-11,3568.62,3588.71,3543.76,3571.1,32733666,sohu
2013-03-12,3570.47,3589.72,3438.19,3481.18,44069284,sohu
2013-03-13,3473.26,3477.1,3413.18,3449.35,31415512,sohu
2013-03-14,3443.78,3482.37,3440.02,3464.85,27756632,sohu
2013-03-15,3466.89,3525.53,3431.57,3471.21,38003056,sohu
2013-03-18,3461.87,3477.93,3423.52,3427.12,36157364,sohu
2013-03-19,3421.74,3442.06,3378.91,3438.07,34632032,sohu
2013-03-20,3436.84,3527.83,3432.58,3527.77,45308620,sohu
2013-03-21,3527.76,3575.84,3522.14,3565.02,48504444,sohu
2013-03-22,3561.12,3586.09,3549.07,3579.92,42811368,sohu
2013-03-25,3581.31,3590.81,3550.19,3568.52,39784828,sohu
2013-03-26,3556.3,3557.79,3504.57,3543.81,38135552,sohu
2013-03-27,3541.38,3579.39,3528.31,3552.26,36894004,sohu
2013-03-28,3526.54,3526.54,3448.67,3448.98,41252740,sohu
2013-03-29,3449.28,3470.48,3434.57,3447.28,31555518,sohu
2013-04-01,3449.54,3489.14,3448.29,3470.96,32953822,sohu
2013-04-02,3471.69,3504.28,3419.74,3428.5,37863676,sohu
2013-04-03,3429.89,3438.59,3382.23,3397.23,36721020,sohu
2013-04-08,3354.44,3411.38,3315.33,3411.13,36220828,sohu
2013-04-09,3411.4,3449.92,3411.4,3444.37,34183396,sohu
2013-04-10,3444.46,3455.69,3410.03,3437.27,35551708,sohu
2013-04-11,3442.93,3453.53,3420.76,3423.22,31925568,sohu
