date,open,high,low,close,volume,source
2025-03-20,3401.76,3414.71,3355.84,3364.83,52086263000,xueqiu
2025-03-23,3364.83,3373.69,3340.24,3370.03,51331026000,xueqiu
2025-03-24,3370.0,3379.99,3361.05,3369.98,45635739300,xueqiu
2025-03-25,3365.67,3382.34,3365.67,3368.7,42853377000,xueqiu
2025-03-26,3362.71,3394.03,3351.17,3373.75,41477631400,xueqiu
2025-03-27,3372.04,3375.05,3346.08,3351.31,41228428900,xueqiu
2025-03-30,3343.34,3361.74,3317.74,3335.75,47257197800,xueqiu
2025-03-31,3340.71,3357.62,3338.78,3348.44,42258867000,xueqiu
2025-04-01,3344.17,3361.13,3343.12,3350.13,35012736400,xueqiu
2025-04-02,3319.61,3358.43,3319.61,3342.01,40051782700,xueqiu
2025-04-06,3193.1,3217.78,3040.69,3096.58,66219958400,xueqiu
2025-04-07,3094.26,3145.55,3085.12,3145.55,66224238700,xueqiu
2025-04-08,3110.0101,3186.8099,3070.0778,3186.81,68479717400,xueqiu
2025-04-09,3227.84,3239.94,3201.57,3223.64,59120827300,xueqiu
2025-04-10,3219.51,3249.85,3211.35,3238.23,47553180400,xueqiu
2025-04-13,3251.98,3272.72,3244.73,3262.81,47137322000,xueqiu
2025-04-14,3260.69,3268.98,3246.34,3267.66,39666289500,xueqiu
2025-04-15,3267.67,3276.0,3233.79,3276.0,42953485400,xueqiu
2025-04-16,3261.72,3285.92,3258.15,3280.34,38201269800,xueqiu
2025-04-17,3270.35,3283.09,3262.39,3276.73,35883619300,xueqiu
2025-04-20,3273.14,3298.64,3270.01,3291.43,37930758800,xueqiu
2025-04-21,3289.17,3311.15,3288.33,3299.76,40316761500,xueqiu
2025-04-22,3308.15,3312.19,3293.06,3296.36,41163321200,xueqiu
2025-04-23,3295.15,3313.51,3286.24,3297.29,39284474900,xueqiu
2025-04-24,3300.39,3305.26,3288.75,3295.06,41104319200,xueqiu
2025-04-27,3292.06,3296.93,3279.88,3288.41,41066586300,xueqiu
2025-04-28,3281.45,3294.98,3277.63,3286.65,38896167200,xueqiu
2025-04-29,3284.08,3292.2,3277.55,3279.03,43579433500,xueqiu
2025-05-05,3295.25,3316.45,3286.99,3316.11,47436961700,xueqiu
2025-05-06,3354.97,3356.69,3324.81,3342.67,51115960600,xueqiu
2025-05-07,3331.21,3359.73,3327.9,3352.0,42837776600,xueqiu
2025-05-08,3350.41,3351.22,3335.13,3342.0,39890919100,xueqiu
2025-05-11,3352.97,3372.47,3344.27,3369.24,41823991000,xueqiu
2025-05-12,3386.23,3386.23,3370.25,3374.87,42624070000,xueqiu
2025-05-13,3374.24,3417.31,3368.08,3403.95,46493444100,xueqiu
2025-05-14,3398.43,3402.87,3378.02,3380.82,42410091600,xueqiu
2025-05-15,3374.71,3380.29,3356.66,3367.46,39540103000,xueqiu
2025-05-18,3365.88,3373.6,3356.65,3367.58,40307480500,xueqiu
2025-05-19,3371.69,3387.8,3369.96,3380.48,40554453400,xueqiu
2025-05-20,3380.21,3394.75,3380.21,3387.57,41249616500,xueqiu
2025-05-21,3381.865,3390.5925,3376.2331,3380.19,39421720600,xueqiu
2025-05-22,3376.87,3389.47,3348.37,3348.37,40022700400,xueqiu
2025-05-25,3346.56,3362.31,3336.36,3346.84,34756210100,xueqiu
2025-05-26,3346.5,3351.57,3332.49,3340.69,34407115700,xueqiu
2025-05-27,3341.85,3348.23,3336.73,3339.93,34155544300,xueqiu
2025-05-28,3340.4,3368.63,3337.42,3363.45,39323380600,xueqiu
2025-05-29,3358.81,3361.28,3341.65,3347.49,38560217000,xueqiu
2025-06-02,3340.07,3367.0,3340.07,3361.98,39806077200,xueqiu
2025-06-03,3363.39,3379.64,3363.39,3376.2,38649464300,xueqiu
2025-06-04,3378.22,3387.76,3371.15,3384.1,40625209300,xueqiu
2025-06-05,3384.29,3391.45,3379.76,3385.36,38012288600,xueqiu
2025-06-08,3388.78,3402.05,3383.07,3399.77,42734794700,xueqiu
2025-06-09,3402.01,3406.45,3365.67,3384.82,48161856800,xueqiu
2025-06-10,3385.46,3413.51,3385.46,3402.32,42409031300,xueqiu
2025-06-11,3397.97,3408.2,3388.87,3402.66,40949061000,xueqiu
2025-06-12,3397.48,3401.55,3370.59,3377.0,51006522100,xueqiu
2025-06-15,3369.37,3389.76,3368.88,3388.73,40538327800,xueqiu
2025-06-16,3388.18,3393.31,3376.42,3387.4,39001244700,xueqiu
2025-06-17,3386.14,3391.71,3369.99,3388.81,37868489100,xueqiu
2025-06-18,3384.29,3386.92,3353.94,3362.11,41532765500,xueqiu
2025-06-19,3358.91,3370.8,3357.71,3359.9,35022366200,xueqiu
2025-06-22,3349.46,3389.45,3347.65,3381.58,38456139700,xueqiu
2025-06-23,3380.08,3423.78,3380.08,3420.57,46096380000,xueqiu
2025-06-24,3419.09,3459.01,3417.41,3455.97,50938406400,xueqiu
2025-06-25,3451.72,3462.75,3446.19,3448.45,49654107700,xueqiu
2025-06-26,3450.69,3462.63,3421.04,3424.23,52312943200,xueqiu
2025-06-29,3423.47,3447.46,3420.11,3444.43,45734804900,xueqiu
2025-06-30,3445.85,3459.59,3441.04,3457.75,44435673900,xueqiu
2025-07-01,3458.17,3461.33,3447.96,3454.79,49811677600,xueqiu
2025-07-02,3456.15,3463.62,3446.97,3461.15,43854346500,xueqiu
2025-07-03,3459.59,3497.22,3455.49,3472.32,50019521000,xueqiu
2025-07-06,3467.98,3474.8,3462.79,3473.13,43663134000,xueqiu
2025-07-07,3474.63,3499.89,3474.63,3497.48,49348477300,xueqiu
2025-07-08,3498.72,3512.67,3491.2,3493.05,52392008800,xueqiu
2025-07-09,3491.5,3526.59,3491.5,3509.68,56415980500,xueqiu
2025-07-10,3511.37,3555.22,3506.8,3510.18,66418524900,xueqiu
2025-07-13,3513.25,3532.12,3513.25,3519.65,57208470500,xueqiu
2025-07-14,3519.81,3527.04,3483.38,3505.0,57207472600,xueqiu
2025-07-15,3502.9,3511.81,3489.14,3503.78,47087857800,xueqiu
2025-07-16,3500.37,3517.28,3499.19,3516.83,47221105600,xueqiu
2025-07-17,3519.48,3536.01,3518.23,3534.48,49348408800,xueqiu
2025-07-20,3542.82,3560.63,3542.57,3559.79,63364973600,xueqiu
2025-07-21,3561.63,3584.72,3547.25,3581.86,71615523000,xueqiu
2025-07-22,3588.88,3613.02,3577.59,3582.3,76767238800,xueqiu
2025-07-23,3578.91,3608.73,3577.11,3605.73,77326583500,xueqiu
2025-07-24,3604.45,3610.03,3586.22,3593.66,69718954900,xueqiu
2025-07-27,3594.23,3606.27,3582.15,3597.94,59418787700,xueqiu
2025-07-28,3595.81,3611.35,3585.94,3609.71,61064205800,xueqiu
2025-07-29,3608.35,3636.17,3593.73,3615.72,63722191600,xueqiu
2025-07-30,3604.7,3606.37,3562.61,3573.21,65450934900,xueqiu
2025-07-31,3568.26,3581.75,3550.04,3559.95,50956308000,xueqiu
2025-08-03,3547.16,3583.31,3547.16,3583.31,45857361800,xueqiu
2025-08-04,3588.81,3617.6,3586.97,3617.6,49979778000,xueqiu
2025-08-05,3615.81,3634.31,3613.99,3633.99,51246727300,xueqiu
2025-08-06,3637.78,3645.12,3622.52,3639.67,53550120200,xueqiu
2025-08-07,3634.85,3645.37,3625.45,3635.13,52640757200,xueqiu
2025-08-10,3637.05,3656.85,3629.63,3647.55,55139334800,xueqiu
2025-08-11,3647.96,3669.04,3647.96,3665.92,53662373900,xueqiu
2025-08-12,3668.66,3688.63,3666.55,3683.46,61352888400,xueqiu
2025-08-13,3685.52,3704.77,3662.57,3666.44,64782958700,xueqiu
2025-08-14,3659.81,3702.26,3658.38,3696.77,67852170300,xueqiu
2025-08-17,3712.5,3745.94,3702.38,3728.03,77601666900,xueqiu
2025-08-18,3728.49,3746.67,3718.15,3727.29,69609975000,xueqiu
2025-08-19,3716.68,3767.43,3704.99,3766.21,67983642600,xueqiu
2025-08-20,3770.68,3787.98,3757.99,3771.1,69155295900,xueqiu
2025-08-21,3772.28,3825.76,3772.28,3825.76,69813627700,xueqiu
2025-08-24,3848.16,3883.56,3839.97,3883.56,88547480200,xueqiu
2025-08-25,3871.47,3888.6,3859.76,3868.38,73456530500,xueqiu
2025-08-26,3869.61,3887.2,3800.35,3800.35,85863349900,xueqiu
2025-08-27,3796.71,3845.09,3761.42,3843.6,78835194700,xueqiu
2025-08-28,3842.82,3867.61,3839.21,3857.93,73946236600,xueqiu
2025-08-31,3869.75,3879.05,3853.66,3875.53,74770953600,xueqiu
2025-09-01,3877.09,3885.31,3828.68,3858.13,76261883300,xueqiu
2025-09-02,3865.29,3868.39,3794.88,3813.56,64566851000,xueqiu
2025-09-03,3807.76,3808.4,3732.84,3765.88,71022793300,xueqiu
2025-09-04,3761.88,3817.16,3745.31,3812.51,62622338000,xueqiu
2025-09-07,3811.67,3833.14,3803.6,3826.84,66006689800,xueqiu
2025-09-08,3816.66,3834.67,3791.72,3807.29,60023938000,xueqiu
2025-09-09,3806.5842,3826.9959,3794.0574,3812.22,53453982500,xueqiu
2025-09-10,3806.06,3875.31,3796.43,3875.31,61701293000,xueqiu
2025-09-11,3875.51,3892.74,3866.54,3870.6,70064178400,xueqiu
2025-09-14,3876.1,3879.74,3855.97,3860.5,64479394400,xueqiu
2025-09-15,3865.98,3876.69,3838.65,3861.87,67343972300,xueqiu
2025-09-16,3854.07,3882.67,3848.95,3876.34,66343471300,xueqiu
2025-09-17,3876.06,3899.96,3801.0,3831.66,87602738900,xueqiu
2025-09-18,3830.44,3843.17,3811.9,3820.09,68229261300,xueqiu
2025-09-21,3822.01,3831.74,3806.2,3828.58,56832568600,xueqiu
2025-09-22,3830.14,3838.61,3774.53,3821.83,70190286800,xueqiu
2025-09-23,3804.48,3854.92,3804.33,3853.64,60205667000,xueqiu
