date,open,high,low,close,volume,source
2019-12-31,1000.0,1000.0,1000.0,1000.0,1516205,sohu
2020-01-02,1005.62,1019.91,1005.62,1019.72,2193853,sohu
2020-01-03,1021.67,1029.07,1018.68,1024.48,2160584,sohu
2020-01-06,1020.0,1040.14,1020.0,1027.28,2663012,sohu
2020-01-07,1025.66,1043.08,1019.86,1043.08,2675922,sohu
2020-01-08,1035.84,1059.44,1034.51,1051.16,3207626,sohu
2020-01-09,1060.58,1081.4,1060.58,1078.31,2843421,sohu
2020-01-10,1082.31,1088.54,1076.44,1076.44,2515475,sohu
2020-01-13,1076.76,1105.85,1069.78,1105.85,2466259,sohu
2020-01-14,1107.78,1133.9,1107.78,1118.31,3262464,sohu
2020-01-15,1113.25,1120.35,1105.58,1114.77,2420464,sohu
2020-01-16,1116.51,1161.48,1116.51,1154.3,3085288,sohu
2020-01-17,1159.37,1252.56,1159.37,1238.66,5873597,sohu
2020-01-20,1239.44,1270.36,1208.69,1240.51,5202592,sohu
2020-01-21,1233.65,1247.84,1194.8,1195.01,4206789,sohu
2020-01-22,1178.78,1247.61,1157.29,1244.52,4794740,sohu
2020-01-23,1219.23,1262.44,1177.09,1202.1,4425934,sohu
2020-02-03,1018.28,1082.79,1015.6,1030.55,5466544,sohu
2020-02-04,1049.96,1153.23,1049.96,1153.23,5286206,sohu
2020-02-05,1166.97,1240.37,1166.97,1203.61,5860213,sohu
2020-02-06,1191.73,1251.84,1191.73,1238.76,5589982,sohu
2020-02-07,1240.04,1307.76,1234.23,1307.76,5664784,sohu
2020-02-10,1310.53,1336.53,1293.43,1322.25,5932907,sohu
2020-02-11,1318.42,1318.42,1266.21,1283.57,5037531,sohu
2020-02-12,1274.8,1360.55,1274.8,1348.7,4763906,sohu
2020-02-13,1360.13,1409.68,1353.04,1360.71,6144055,sohu
2020-02-14,1359.37,1382.96,1305.97,1327.22,5310166,sohu
2020-02-17,1332.97,1381.55,1332.97,1381.55,4969889,sohu
2020-02-18,1381.58,1404.71,1372.53,1399.38,4905608,sohu
2020-02-19,1398.78,1412.17,1373.44,1373.44,4783190,sohu
2020-02-20,1377.76,1390.02,1321.73,1348.34,4222266,sohu
2020-02-21,1337.56,1373.67,1337.56,1346.86,4475455,sohu
2020-02-24,1341.99,1359.23,1328.75,1351.71,4199988,sohu
2020-02-25,1312.48,1371.58,1312.48,1367.37,4611598,sohu
2020-02-26,1348.07,1361.01,1286.35,1288.24,5015814,sohu
2020-02-27,1293.19,1293.19,1251.45,1264.94,5032824,sohu
2020-02-28,1206.86,1231.09,1187.1,1191.05,5132084,sohu
2020-03-02,1202.96,1259.08,1194.94,1252.62,4979736,sohu
2020-03-03,1278.27,1332.84,1272.06,1285.03,5122939,sohu
2020-03-04,1268.83,1277.69,1226.8,1255.72,3819524,sohu
2020-03-05,1277.71,1277.71,1246.71,1264.79,4312616,sohu
2020-03-06,1246.1,1255.07,1237.62,1243.37,3261214,sohu
2020-03-09,1216.04,1223.25,1171.86,1171.86,3872703,sohu
2020-03-10,1148.4,1216.33,1135.21,1216.33,4064920,sohu
2020-03-11,1218.52,1233.43,1184.71,1184.71,4248509,sohu
2020-03-12,1161.92,1177.36,1151.79,1167.06,2805384,sohu
2020-03-13,1103.96,1187.7,1103.96,1175.28,3383310,sohu
2020-03-16,1188.08,1200.46,1115.08,1115.08,3181187,sohu
2020-03-17,1132.95,1141.39,1079.84,1131.55,2972678,sohu
2020-03-18,1145.3,1173.23,1115.02,1115.02,2999560,sohu
2020-03-19,1116.26,1133.69,1091.24,1128.97,2785032,sohu
2020-03-20,1140.09,1148.09,1114.29,1127.37,2355961,sohu
2020-03-23,1092.5,1096.4,1037.53,1039.88,2830474,sohu
