date,target_next,pred,abs_error
2025-10-31,0.005234041143538537,0.002365544934114827,0.00286849620942371
2025-11-03,-0.00777722853847429,0.005114195727676337,0.012891424266150628
2025-11-04,-0.0018599089973097005,0.0030560374186227373,0.004915946415932438
2025-11-05,0.050111469736798364,0.003963048119438374,0.04614842161735999
2025-11-06,-0.010646725181406191,0.006751127976683365,0.017397853158089557
2025-11-07,-0.005572814912083945,0.0026715198576696773,0.008244334769753623
2025-11-10,-0.020354922863860425,0.0024300015467456216,0.022784924410606047
2025-11-11,0.002761613571358179,0.0020121189277193777,0.0007494946436388014
2025-11-12,-0.0034752958919380683,0.002878881265227488,0.0063541771571655565
2025-11-13,-0.037835170258266104,0.003307306010858227,0.04114247626912433
2025-11-14,0.015182082407249053,0.00022458804945860557,0.014957494357790448
2025-11-17,0.003166155815285121,0.00299810196396393,0.0001680538513211911
2025-11-18,0.005942987610381811,0.001727444432739234,0.004215543177642577
2025-11-19,0.012216288384512719,0.0024468944818838317,0.009769393902628888
2025-11-20,-0.042504781375717116,0.0011385844650766207,0.04364336584079374
2025-11-21,-0.0026862279161070646,-0.0017272935486508764,0.0009589343674561881
2025-11-24,0.05093407921544246,0.0014538643956769014,0.04948021481976556
2025-11-25,0.04360254977985134,0.004997679626151568,0.038604870153699775
2025-11-26,-0.003337426403450694,0.00490192698250949,0.008239353385960184
2025-11-27,-0.0024956562944243865,0.002496068332526146,0.004991724626950533
2025-11-28,0.011116037496833098,0.0021509469960666354,0.008965090500766461
2025-12-01,-0.0006577504933128475,0.0027572184716743607,0.003414968964987208
2025-12-02,0.0023193129818843694,0.0016897468742358324,0.000629566107648537
2025-12-03,0.00869293308317709,0.0016793562726590207,0.00701357681051807
2025-12-04,0.015376030752061398,0.0025487271398898304,0.012827303612171569
2025-12-05,0.0695182267814618,0.002515344311937771,0.06700288246952403
2025-12-08,0.038394564814021814,0.005497163612476723,0.03289740120154509
2025-12-09,-0.0014844952716076554,0.00327115996513534,0.004755655236742996
2025-12-10,-0.02554925389571061,0.001705502897263645,0.027254756792974257
2025-12-11,0.010821043114652262,0.0008156102743720882,0.010005432840280173
2025-12-12,-0.02515582636889635,0.0028181997893484646,0.027974026158244816
2025-12-15,-0.01840754652062948,0.0010571309102438997,0.019464677430873382
2025-12-16,0.06180809113480357,0.0014506180773886704,0.060357473057414894
2025-12-17,-0.02607906247420988,0.007098751620093907,0.03317781409430379
2025-12-18,-0.009321243962376102,0.0023588178559083026,0.011680061818284404
2025-12-19,0.04060103213297994,0.004051076614124503,0.03654995551885544
2025-12-22,0.012357180042195104,0.005836504194115138,0.006520675848079966
2025-12-23,0.017619356934069463,0.003650540107779557,0.013968816826289907
2025-12-24,-0.006728902364424583,0.004010223217925199,0.010739125582349782
2025-12-25,-0.009693139827558483,0.0026979434167823434,0.012391083244340826
2025-12-26,0.005434782608695787,0.0025625506246545293,0.002872231984041258
2025-12-29,-0.0018018018018017834,0.002392133229912822,0.004193935031714606
2025-12-30,-0.02793792769006964,0.002437772867104635,0.030375700557174277
2025-12-31,0.015603780383027122,0.0006491432363055936,0.014954637146721527
2026-01-05,-0.015418622421133121,0.0038514168954524993,0.01927003931658562
2026-01-06,0.009479198425677016,0.002175946981735959,0.007303251443941057
2026-01-07,-0.021800609538453086,0.00257348611606588,0.024374095654518965
2026-01-08,0.005192690936649091,0.001258299247043545,0.003934391689605547
2026-01-09,-0.010834357198704292,0.0024849795698307538,0.013319336768535046
2026-01-12,-0.036641824751580954,0.0021986821793668083,0.03884050693094776
2026-01-13,0.012571060188712346,0.00036854258226468777,0.012202517606447659
2026-01-14,0.02601649544204898,0.003115946275611619,0.022900549166437363
2026-01-15,0.007107801658487123,0.0036936798433618327,0.00341412181512529
2026-01-16,-0.014507365708844477,0.002145018271985689,0.016652383980830167
2026-01-19,-0.04217346822780499,0.0010490829105044212,0.04322255113830941
2026-01-20,0.027830524566816894,-0.00017433576586184992,0.028004860332678745
2026-01-21,0.03114716240401827,0.0032862626383151393,0.02786089976570313
2026-01-22,-0.03387363175722968,0.003753334263662338,0.03762696602089202
