date,close,ret,source,proxy_symbol,proxy_name
2021-04-07,0.991,,theme_proxy,516510,云计算ETF
2021-04-08,0.99,-0.0010090817356205317,theme_proxy,516510,云计算ETF
2021-04-09,0.979,-0.011111111111111072,theme_proxy,516510,云计算ETF
2021-04-12,0.964,-0.01532175689479065,theme_proxy,516510,云计算ETF
2021-04-13,0.961,-0.003112033195020736,theme_proxy,516510,云计算ETF
2021-04-14,0.976,0.015608740894901052,theme_proxy,516510,云计算ETF
2021-04-15,0.977,0.0010245901639345245,theme_proxy,516510,云计算ETF
2021-04-16,0.982,0.0051177072671442225,theme_proxy,516510,云计算ETF
2021-04-19,1.004,0.022403258655804503,theme_proxy,516510,云计算ETF
2021-04-20,1.002,-0.0019920318725099584,theme_proxy,516510,云计算ETF
2021-04-21,0.996,-0.005988023952095856,theme_proxy,516510,云计算ETF
2021-04-22,1.0,0.004016064257028162,theme_proxy,516510,云计算ETF
2021-04-23,0.99,-0.010000000000000009,theme_proxy,516510,云计算ETF
2021-04-26,0.98,-0.010101010101010055,theme_proxy,516510,云计算ETF
2021-04-27,0.977,-0.003061224489795955,theme_proxy,516510,云计算ETF
2021-04-28,0.975,-0.0020470829068577334,theme_proxy,516510,云计算ETF
2021-04-29,0.975,0.0,theme_proxy,516510,云计算ETF
2021-04-30,0.961,-0.014358974358974375,theme_proxy,516510,云计算ETF
2021-05-06,0.947,-0.014568158168574374,theme_proxy,516510,云计算ETF
2021-05-07,0.931,-0.0168954593453009,theme_proxy,516510,云计算ETF
2021-05-10,0.92,-0.011815252416756183,theme_proxy,516510,云计算ETF
2021-05-11,0.932,0.01304347826086949,theme_proxy,516510,云计算ETF
2021-05-12,0.936,0.0042918454935623185,theme_proxy,516510,云计算ETF
2021-05-13,0.931,-0.005341880341880323,theme_proxy,516510,云计算ETF
2021-05-14,0.95,0.020408163265305923,theme_proxy,516510,云计算ETF
2021-05-17,0.97,0.021052631578947434,theme_proxy,516510,云计算ETF
2021-05-18,0.975,0.005154639175257714,theme_proxy,516510,云计算ETF
2021-05-19,0.969,-0.006153846153846176,theme_proxy,516510,云计算ETF
2021-05-20,0.976,0.007223942208462342,theme_proxy,516510,云计算ETF
2021-05-21,0.964,-0.012295081967213073,theme_proxy,516510,云计算ETF
2021-05-24,0.99,0.0269709543568466,theme_proxy,516510,云计算ETF
2021-05-25,1.011,0.021212121212121016,theme_proxy,516510,云计算ETF
2021-05-26,1.015,0.003956478733926794,theme_proxy,516510,云计算ETF
2021-05-27,1.02,0.0049261083743843415,theme_proxy,516510,云计算ETF
2021-05-28,1.019,-0.0009803921568628526,theme_proxy,516510,云计算ETF
2021-05-31,1.026,0.006869479882237517,theme_proxy,516510,云计算ETF
2021-06-01,1.027,0.0009746588693955172,theme_proxy,516510,云计算ETF
2021-06-02,1.006,-0.020447906523855752,theme_proxy,516510,云计算ETF
2021-06-03,1.005,-0.0009940357852883386,theme_proxy,516510,云计算ETF
2021-06-04,1.007,0.0019900497512437276,theme_proxy,516510,云计算ETF
2021-06-07,1.028,0.020854021847070747,theme_proxy,516510,云计算ETF
2021-06-08,1.03,0.0019455252918287869,theme_proxy,516510,云计算ETF
2021-06-09,1.038,0.007766990291262044,theme_proxy,516510,云计算ETF
2021-06-10,1.064,0.025048169556840083,theme_proxy,516510,云计算ETF
2021-06-11,1.066,0.001879699248120259,theme_proxy,516510,云计算ETF
2021-06-15,1.058,-0.007504690431519689,theme_proxy,516510,云计算ETF
2021-06-16,1.033,-0.02362948960302469,theme_proxy,516510,云计算ETF
2021-06-17,1.058,0.02420135527589551,theme_proxy,516510,云计算ETF
2021-06-18,1.048,-0.009451795841209809,theme_proxy,516510,云计算ETF
2021-06-21,1.048,0.0,theme_proxy,516510,云计算ETF
2021-06-22,1.049,0.000954198473282375,theme_proxy,516510,云计算ETF
2021-06-23,1.052,0.0028598665395616063,theme_proxy,516510,云计算ETF
2021-06-24,1.035,-0.01615969581749066,theme_proxy,516510,云计算ETF
