date,close,ret,source,proxy_symbol,proxy_name
2025-03-20,1042.8926,,index_theme_proxy,sh000688,科创50代理
2025-03-23,1045.9417,0.0029236951149143042,index_theme_proxy,sh000688,科创50代理
2025-03-24,1031.6971,-0.013618923502141667,index_theme_proxy,sh000688,科创50代理
2025-03-25,1029.0548,-0.002561119925606259,index_theme_proxy,sh000688,科创50代理
2025-03-26,1040.5698,0.011189880266823549,index_theme_proxy,sh000688,科创50代理
2025-03-27,1029.4763,-0.010660985932899436,index_theme_proxy,sh000688,科创50代理
2025-03-30,1022.7139,-0.006568776765429218,index_theme_proxy,sh000688,科创50代理
2025-03-31,1024.3755,0.001624696799368941,index_theme_proxy,sh000688,科创50代理
2025-04-01,1022.7483,-0.0015884800056230608,index_theme_proxy,sh000688,科创50代理
2025-04-02,1018.0724,-0.004571897112906398,index_theme_proxy,sh000688,科创50代理
2025-04-06,924.1733,-0.09223224202915237,index_theme_proxy,sh000688,科创50代理
2025-04-07,940.0906,0.017223284853609133,index_theme_proxy,sh000688,科创50代理
2025-04-08,980.5689,0.04305787123070903,index_theme_proxy,sh000688,科创50代理
2025-04-09,991.2244,0.01086665098189421,index_theme_proxy,sh000688,科创50代理
2025-04-10,1011.7085,0.0206654517382745,index_theme_proxy,sh000688,科创50代理
2025-04-13,1014.2834,0.002545100688587709,index_theme_proxy,sh000688,科创50代理
2025-04-14,1006.3395,-0.007832031954777108,index_theme_proxy,sh000688,科创50代理
2025-04-15,1014.5088,0.00811783697251256,index_theme_proxy,sh000688,科创50代理
2025-04-16,1016.8118,0.002270064094071822,index_theme_proxy,sh000688,科创50代理
2025-04-17,1008.597,-0.008078977840343726,index_theme_proxy,sh000688,科创50代理
2025-04-20,1019.41,0.010720832998710073,index_theme_proxy,sh000688,科创50代理
2025-04-21,1016.22,-0.003129261043152365,index_theme_proxy,sh000688,科创50代理
2025-04-22,1012.65,-0.003513018834504389,index_theme_proxy,sh000688,科创50代理
2025-04-23,1003.32,-0.009213449859280076,index_theme_proxy,sh000688,科创50代理
2025-04-24,1004.57,0.0012458637324084254,index_theme_proxy,sh000688,科创50代理
2025-04-27,1002.83,-0.001732084374408971,index_theme_proxy,sh000688,科创50代理
2025-04-28,1003.87,0.0010370651057507452,index_theme_proxy,sh000688,科创50代理
2025-04-29,1012.42,0.008517039058842268,index_theme_proxy,sh000688,科创50代理
2025-05-05,1026.52,0.013927026332944958,index_theme_proxy,sh000688,科创50代理
2025-05-06,1030.19,0.0035751860655419687,index_theme_proxy,sh000688,科创50代理
2025-05-07,1026.44,-0.0036401052233083764,index_theme_proxy,sh000688,科创50代理
2025-05-08,1006.32,-0.01960173025213363,index_theme_proxy,sh000688,科创50代理
2025-05-11,1011.23,0.00487916368550767,index_theme_proxy,sh000688,科创50代理
2025-05-12,1009.68,-0.0015327868041890014,index_theme_proxy,sh000688,科创50代理
2025-05-13,1013.77,0.004050788368592073,index_theme_proxy,sh000688,科创50代理
2025-05-14,1000.97,-0.012626138078656868,index_theme_proxy,sh000688,科创50代理
2025-05-15,995.24,-0.005724447286132417,index_theme_proxy,sh000688,科创50代理
2025-05-18,995.25,1.0047827659676045e-05,index_theme_proxy,sh000688,科创50代理
