date,close,ret,source,proxy_symbol,proxy_name
2023-06-21,6548.41,,index_theme_proxy,sh000852,中证1000
2023-06-26,6420.97,-0.01946121272186674,index_theme_proxy,sh000852,中证1000
2023-06-27,6507.27,0.013440336896138882,index_theme_proxy,sh000852,中证1000
2023-06-28,6475.5,-0.004882231719292474,index_theme_proxy,sh000852,中证1000
2023-06-29,6520.04,0.00687823334105464,index_theme_proxy,sh000852,中证1000
2023-06-30,6602.04,0.012576609959448204,index_theme_proxy,sh000852,中证1000
2023-07-03,6612.88,0.0016419167408860957,index_theme_proxy,sh000852,中证1000
2023-07-04,6638.45,0.003866696507421885,index_theme_proxy,sh000852,中证1000
2023-07-05,6584.42,-0.008138948097824006,index_theme_proxy,sh000852,中证1000
2023-07-06,6567.08,-0.002633489358212282,index_theme_proxy,sh000852,中证1000
2023-07-07,6521.43,-0.006951339103528409,index_theme_proxy,sh000852,中证1000
2023-07-10,6526.85,0.0008311060610939336,index_theme_proxy,sh000852,中证1000
2023-07-11,6579.37,0.008046760688540378,index_theme_proxy,sh000852,中证1000
2023-07-12,6482.99,-0.014648818959870025,index_theme_proxy,sh000852,中证1000
2023-07-13,6548.31,0.0100755978337157,index_theme_proxy,sh000852,中证1000
2023-07-14,6544.46,-0.0005879379565110199,index_theme_proxy,sh000852,中证1000
2023-07-17,6516.56,-0.00426314776161818,index_theme_proxy,sh000852,中证1000
2023-07-18,6510.03,-0.001002062437850726,index_theme_proxy,sh000852,中证1000
2023-07-19,6492.35,-0.002715809297345717,index_theme_proxy,sh000852,中证1000
2023-07-20,6408.76,-0.012875153064760836,index_theme_proxy,sh000852,中证1000
2023-07-21,6401.42,-0.0011453073605502961,index_theme_proxy,sh000852,中证1000
2023-07-24,6393.79,-0.0011919230420750493,index_theme_proxy,sh000852,中证1000
2023-07-25,6498.27,0.01634085573658206,index_theme_proxy,sh000852,中证1000
2023-07-26,6457.25,-0.0063124493134326665,index_theme_proxy,sh000852,中证1000
2023-07-27,6407.55,-0.007696774942893669,index_theme_proxy,sh000852,中证1000
2023-07-28,6465.38,0.009025290477639558,index_theme_proxy,sh000852,中证1000
2023-07-31,6515.85,0.00780619236610991,index_theme_proxy,sh000852,中证1000
2023-08-01,6507.41,-0.0012953029919351433,index_theme_proxy,sh000852,中证1000
2023-08-02,6496.02,-0.0017503123362442308,index_theme_proxy,sh000852,中证1000
2023-08-03,6499.54,0.000541870252862342,index_theme_proxy,sh000852,中证1000
2023-08-04,6535.32,0.005505004969582394,index_theme_proxy,sh000852,中证1000
2023-08-07,6503.98,-0.004795480557952758,index_theme_proxy,sh000852,中证1000
2023-08-08,6471.34,-0.005018465616437817,index_theme_proxy,sh000852,中证1000
2023-08-09,6420.98,-0.007782004963423406,index_theme_proxy,sh000852,中证1000
2023-08-10,6426.81,0.0009079610900517565,index_theme_proxy,sh000852,中证1000
2023-08-11,6304.64,-0.01900943080626316,index_theme_proxy,sh000852,中证1000
