date,close,ret,source,proxy_symbol,proxy_name
2010-06-01,973.23,,index_theme_proxy,sz399006,创业板代理
2010-06-02,997.12,0.02454712657850666,index_theme_proxy,sz399006,创业板代理
2010-06-03,998.39,0.0012736681643132908,index_theme_proxy,sz399006,创业板代理
2010-06-04,1027.68,0.029337232945041647,index_theme_proxy,sz399006,创业板代理
2010-06-07,1069.47,0.04066440915460068,index_theme_proxy,sz399006,创业板代理
2010-06-08,1067.15,-0.0021692988115608047,index_theme_proxy,sz399006,创业板代理
2010-06-09,1077.82,0.009998594386918302,index_theme_proxy,sz399006,创业板代理
2010-06-10,1117.48,0.036796496632090836,index_theme_proxy,sz399006,创业板代理
2010-06-11,1122.2,0.004223789240075826,index_theme_proxy,sz399006,创业板代理
2010-06-17,1064.84,-0.05111388344323664,index_theme_proxy,sz399006,创业板代理
2010-06-18,1000.28,-0.06062882686600801,index_theme_proxy,sz399006,创业板代理
2010-06-21,1040.8,0.040508657575878626,index_theme_proxy,sz399006,创业板代理
2010-06-22,1035.0,-0.00557263643351269,index_theme_proxy,sz399006,创业板代理
2010-06-23,1047.34,0.01192270531400963,index_theme_proxy,sz399006,创业板代理
2010-06-24,1050.6,0.0031126472778657543,index_theme_proxy,sz399006,创业板代理
2010-06-25,1016.28,-0.03266704740148485,index_theme_proxy,sz399006,创业板代理
2010-06-28,987.83,-0.027994253552170556,index_theme_proxy,sz399006,创业板代理
2010-06-29,913.31,-0.07543808145126196,index_theme_proxy,sz399006,创业板代理
2010-06-30,919.31,0.006569510899913533,index_theme_proxy,sz399006,创业板代理
2010-07-01,882.19,-0.040378109669208295,index_theme_proxy,sz399006,创业板代理
2010-07-02,873.12,-0.01028123193416386,index_theme_proxy,sz399006,创业板代理
2010-07-05,862.27,-0.012426699651823414,index_theme_proxy,sz399006,创业板代理
2010-07-06,893.72,0.03647349438111047,index_theme_proxy,sz399006,创业板代理
2010-07-07,908.55,0.016593563979769854,index_theme_proxy,sz399006,创业板代理
2010-07-08,905.51,-0.00334599086456433,index_theme_proxy,sz399006,创业板代理
